alimento,grupo,equivalencia_casera,kcal_por_100g
Escalopa de res,AOA MBAG,1 gramos = 1 g,113
Extraviado,AOA MBAG,1 gramos = 1 g,83
Extraviado Fileteado,AOA MBAG,1 gramos = 1 g,83
Fajita de pollo sin piel cruda,AOA MBAG,1 gramos = 1 g,120
Falda,AOA MBAG,1 gramos = 1 g,106
Falda abierta,AOA MBAG,1 gramos = 1 g,106
Falda de res,AOA MBAG,1 gramos = 1 g,106
Filete de atún,AOA MBAG,1 gramos = 1 g,110
Filete de bandera crudo,AOA MBAG,1 gramos = 1 g,90
Filete de calamar crudo,AOA MBAG,1 gramos = 1 g,91
Filete de cazón crudo,AOA MBAG,1 gramos = 1 g,130
Filete de extraviado,AOA MBAG,1 gramos = 1 g,85
"Filete de guachinango, pargo",AOA MBAG,1 gramos = 1 g,100
"Filete de huachinango, pargo",AOA MBAG,1 gramos = 1 g,100
Filete de lenguado,AOA MBAG,1 gramos = 1 g,76
Filete de merfuza,AOA MBAG,1 gramos = 1 g,76
Filete de mero,AOA MBAG,1 gramos = 1 g,85
Filete de mojarra,AOA MBAG,1 gramos = 1 g,100
Filete de pescado,AOA MBAG,1 gramos = 1 g,90
Filete de pescado Blanco del Nilo,AOA MBAG,1 gramos = 1 g,90
Filete de res,AOA MBAG,1 gramos = 1 g,120
Filete de róbalo,AOA MBAG,1 gramos = 1 g,88
Filete de venado,AOA MBAG,1 gramos = 1 g,125
Filete mignón,AOA MBAG,1 pieza = 120 g,120
Filete miñón,AOA MBAG,1 pieza = 120 g,120
Filete tampiqueña,AOA MBAG,1 pieza = 120 g,120
Gallinita de Guinea con piel,AOA MBAG,1 gramos = 1 g,156
Gallinita de Guinea sin piel,AOA MBAG,1 gramos = 1 g,109
Guachinango,AOA MBAG,1 gramos = 1 g,100
Guachinango cocido,AOA MBAG,1 gramos = 1 g,129
Guachinango crudo Fileteado,AOA MBAG,1 gramos = 1 g,100
Gurrubata cruda,AOA MBAG,1 gramos = 1 g,100
Halibut cocido,AOA MBAG,1 gramos = 1 g,141
Huachinango cocido,AOA MBAG,1 gramos = 1 g,129
Huachinango crudo,AOA MBAG,1 gramos = 1 g,100
Huachinango crudo Fileteado,AOA MBAG,1 gramos = 1 g,100
Hueva de pescado,AOA MBAG,1 cucharadita = 5 g,143
Huevo de iguana,AOA MBAG,1 gramos = 1 g,64
Iguana,AOA MBAG,1 gramos = 0 g,117
Isabelita,AOA MBAG,1 gramos = 1 g,83
Jaiba cocida desmenuzada,AOA MBAG,1 taza = 142 g,83
Jaiba cocida entera,AOA MBAG,1 gramos = 1 g,85
Jaiba cruda,AOA MBAG,1 gramos = 1 g,98
Jorobado lamparosa,AOA MBAG,1 gramos = 1 g,94
Jugo de almeja,AOA MBAG,1 taza = 240 g,2
Langosta,AOA MBAG,1 gramos = 0 g,90
Langosta cocida,AOA MBAG,1 gramos = 1 g,97
Langostino,AOA MBAG,1 gramos = 0 g,68
Lenguado,AOA MBAG,1 gramos = 0 g,76
Lenguado Fileteado,AOA MBAG,1 gramos = 1 g,76
Liebre,AOA MBAG,1 gramos = 1 g,133
"Lisa, churra, cabezuda",AOA MBAG,1 gramos = 1 g,111
Lomo canadiense,AOA MBAG,1 rebanada = 15 g,100
Lomo de venado,AOA MBAG,1 gramos = 1 g,117
Machaca,AOA MBAG,1 sobre = 39 g,338
Machacado de res,AOA MBAG,1 gramos = 1 g,333
Maciza de res,AOA MBAG,1 gramos = 1 g,140
Maciza de res en trozo,AOA MBAG,1 gramos = 1 g,140
Mantarraya cocida,AOA MBAG,1 gramos = 1 g,164
Medallón de Filete,AOA MBAG,1 pieza = 120 g,120
Medallón de Filete de res,AOA MBAG,1 gramos = 1 g,120
Mejillones sin concha cocidos,AOA MBAG,1 gramos = 1 g,172
Mejillones sin concha crudos,AOA MBAG,1 taza = 152 g,86
Menudencias de pavo,AOA MBAG,1 gramos = 1 g,168
Menudencias de pollo cocidas,AOA MBAG,1 gramos = 1 g,160
Menudencias de pollo crudas,AOA MBAG,1 gramos = 1 g,123
Merluza,AOA MBAG,1 gramos = 1 g,77
Merluza Fileteada,AOA MBAG,1 gramos = 1 g,76
Mero cocido,AOA MBAG,1 gramos = 1 g,117
Mero crudo,AOA MBAG,1 gramos = 1 g,83
Mero crudo Fileteado,AOA MBAG,1 gramos = 1 g,85
Milanesa de avestruz,AOA MBAG,1 gramos = 1 g,89
Milanesa de pollo,AOA MBAG,1 gramos = 1 g,113
Milanesa de res,AOA MBAG,1 gramos = 1 g,120
Mojarra cruda Fileteada,AOA MBAG,1 gramos = 1 g,97
Mojarra tilapia cruda,AOA MBAG,1 pieza = 112 g,95
Molida de pollo,AOA MBAG,1 gramos = 1 g,113
Molleja de pollo cocida,AOA MBAG,1 gramos = 1 g,148
Pancita de res,AOA MBAG,1 gramos = 1 g,93
Pargo,AOA MBAG,1 gramos = 1 g,103
Pargo Fileteado,AOA MBAG,1 gramos = 1 g,103
Pata de res,AOA MBAG,1 gramos = 0 g,80
Pechuga de pavo,AOA MBAG,1 rebanada = 21 g,109
Pechuga de pavo ahumada,AOA MBAG,1 rebanada = 23 g,94
Pechuga de pavo ahumada baja en grasa,AOA MBAG,1 rebanada = 21 g,79
Pechuga de pollo ahumada,AOA MBAG,1 rebanada = 21 g,79
Pechuga de pollo deshuesada sin piel,AOA MBAG,1 gramos = 1 g,113
Pechuga de pollo molida,AOA MBAG,1 gramos = 1 g,120
Pechuga de pollo sin piel,AOA MBAG,1 gramos = 1 g,115
Pechuga de pollo sin piel a la plancha,AOA MBAG,1 gramos = 1 g,160
Pechuga de pollo sin piel aplanada,AOA MBAG,1 gramos = 1 g,160
Pechuga de pollo sin piel asada,AOA MBAG,1 gramos = 1 g,160
Pechuga de pollo sin piel cocida,AOA MBAG,1 gramos = 1 g,160
Pechuga de pollo sin piel cruda,AOA MBAG,1 gramos = 1 g,115
Pechuga de pollo sin piel en brocheta cruda,AOA MBAG,1 gramos = 1 g,113
Pechuga de pollo sin piel en fajitas cruda,AOA MBAG,1 gramos = 1 g,113
"Pechuga de pollo sin piel horneada, rebanada",AOA MBAG,1 rebanada = 21 g,98
Pechuga de pollo sin piel molida cruda,AOA MBAG,1 gramos = 1 g,113
Pechuga sin piel deshebrada,AOA MBAG,1 gramos = 1 g,113
Pechuga sin piel desmenuzada,AOA MBAG,1 gramos = 1 g,113
Pechuga sin piel molida,AOA MBAG,1 gramos = 1 g,113
Perca Fileteada,AOA MBAG,1 gramos = 1 g,89
Perca cocida,AOA MBAG,1 gramos = 1 g,117
Perca cruda,AOA MBAG,1 gramos = 1 g,92
Pescado Fileteado,AOA MBAG,1 gramos = 1 g,90
Pescado blanco ahumado,AOA MBAG,1 gramos = 1 g,109
Pescado en trozo,AOA MBAG,1 gramos = 1 g,90
Pescado entero,AOA MBAG,1 gramos = 1 g,90
Pescado rebanado,AOA MBAG,1 gramos = 1 g,90
Pescado seco tipo bacalao,AOA MBAG,1 gramos = 1 g,283
Pez espada cocido,AOA MBAG,1 gramos = 1 g,154
Pez espada crudo,AOA MBAG,1 gramos = 1 g,119
Pez espada crudo Fileteado,AOA MBAG,1 gramos = 1 g,122
Pez espada crudo rebanado,AOA MBAG,1 gramos = 1 g,119
Pollo crudo sin piel,AOA MBAG,1 gramos = 1 g,185
Pollo crudo sin piel en piezas,AOA MBAG,1 gramos = 1 g,188
Pollo deshebrado,AOA MBAG,1 taza = 152 g,113
Pollo sin piel cocido,AOA MBAG,1 gramos = 1 g,160
Proteína aislada de soya,AOA MBAG,1 gramos = 1 g,340
Proteína concentrada de soya,AOA MBAG,1 gramos = 1 g,330
Proteína de suero de leche,AOA MBAG,1 cucharadita = 5 g,360
Pulmón de cerdo,AOA MBAG,1 gramos = 1 g,85
Pulpa de jaiba,AOA MBAG,1 taza = 139 g,83
Pulpo cocido,AOA MBAG,1 gramos = 1 g,164
Pulpo crudo,AOA MBAG,1 gramos = 1 g,82
Puntas de Filete,AOA MBAG,1 gramos = 1 g,120
Puntas de res,AOA MBAG,1 gramos = 1 g,120
"Queso Cotagge
Lala Light",AOA MBAG,1 gramos = 1 g,70
Queso Cottage,AOA MBAG,1 cucharada = 16 g,90
Queso Cottage 1 % grasa,AOA MBAG,1 taza = 228 g,72
Queso Cottage 2% grasa,AOA MBAG,1 cucharada = 16 g,90
Queso Cottage bajo en grasa,AOA MBAG,1 taza = 228 g,72
Queso Mozzarella cero grasa,AOA MBAG,1 rebanada = 28 g,139
Queso Suizo muy bajo en grasa,AOA MBAG,1 rebanada = 28 g,179
Retazo de pescado crudo,AOA MBAG,1 gramos = 0 g,100
Riñones de carnero crudos,AOA MBAG,1 gramos = 1 g,108
Riñones de cerdo cocidos,AOA MBAG,1 gramos = 1 g,150
Riñones de res cocidos,AOA MBAG,1 gramos = 1 g,160
Riñones de ternera cocidos,AOA MBAG,1 gramos = 1 g,164
Roast beef,AOA MBAG,1 rebanada = 13 g,109
Róbalo Fileteado,AOA MBAG,1 gramos = 1 g,88
Róbalo cocido,AOA MBAG,1 gramos = 1 g,113
Róbalo crudo,AOA MBAG,1 gramos = 1 g,87
Salmón ahumado,AOA MBAG,1 gramos = 1 g,117
Sats orugas,AOA MBAG,1 gramos = 1 g,54
Sopa de almeja,AOA MBAG,1 taza = 240 g,56
Surimi,AOA MBAG,1 barra = 61 g,98
Surimi imitación camarón,AOA MBAG,1 gramos = 1 g,100
Tampiqueña,AOA MBAG,1 pieza = 120 g,120
Tampiqueña de Filete,AOA MBAG,1 pieza = 120 g,120
Trucha fresca,AOA MBAG,1 gramos = 1 g,120
Venado cocido (carne magra),AOA MBAG,1 gramos = 1 g,183
Venado crudo (carne magra),AOA MBAG,1 gramos = 1 g,156
Aguardiente,Alcohol,1 ml = 1 g,280
Anís dulce o seco,Alcohol,1 ml = 1 g,267
Brandy,Alcohol,1 ml = 1 g,232
Cerveza,Alcohol,1 lata = 356 g,43
Cerveza light,Alcohol,1 lata = 354 g,29
Champaña,Alcohol,1 copa = 150 g,67
Coñac,Alcohol,1 ml = 1 g,240
Crema de menta,Alcohol,1 ml = 1 g,370
Ginebra,Alcohol,1 ml = 1 g,264
Licor 100 proof,Alcohol,1 ml = 1 g,296
Licor 80 proof,Alcohol,1 ml = 1 g,232
Licor 86 proof,Alcohol,1 ml = 1 g,251
Licor 90 proof,Alcohol,1 ml = 1 g,264
Licor 94 proof,Alcohol,1 ml = 1 g,276
Licor de almendras,Alcohol,1 ml = 1 g,223
Licor de café,Alcohol,1 ml = 1 g,327
Licor de café con crema,Alcohol,1 ml = 1 g,327
Licor de café con whiskey,Alcohol,1 ml = 1 g,327
Licor de naranja,Alcohol,1 ml = 1 g,225
Oporto,Alcohol,1 ml = 1 g,161
Pulque,Alcohol,1 tarro = 330 g,47
Rompope,Alcohol,1 ml = 1 g,235
Ron blanco o añejo,Alcohol,1 ml = 1 g,232
Sidra,Alcohol,1 copa = 150 g,50
Tequila,Alcohol,1 ml = 1 g,265
Vermouth seco,Alcohol,1 ml = 1 g,223
Vino (12.2% de alcohol),Alcohol,1 copa = 100 g,137
Vino blanco dulce,Alcohol,1 copa = 100 g,160
Vino blanco seco,Alcohol,1 copa = 100 g,82
Vino de mesa,Alcohol,1 copa = 100 g,83
Vino espumoso,Alcohol,1 copa = 150 g,67
Vino rosado,Alcohol,1 copa = 100 g,67
Vino tinto,Alcohol,1 copa = 100 g,85
Vodka,Alcohol,1 ml = 1 g,232
Whisky,Alcohol,1 ml = 1 g,251
Aderezo Blue Cheese bajo en calorías,Azucares con grasa,1 cucharada = 15 g,143
Aderezo Mil Islas bajo en calorías,Azucares con grasa,1 cucharada = 15 g,160
Aderezo Ranch bajo en calorías,Azucares con grasa,1 cucharada = 15 g,142
Aderezo de miel,Azucares con grasa,1 cucharada = 16 g,109
Aderezo de miel y mostaza bajo en calorías,Azucares con grasa,1 cucharada = 15 g,142
Aderezo francés bajo en calorías,Azucares con grasa,1 cucharada = 15 g,132
Aderezo ruso bajo en calorías,Azucares con grasa,1 cucharada = 15 g,144
Aderezo tipo César bajo en calorías,Azucares con grasa,1 cucharada = 15 g,193
Almendra con chocolate,Azucares con grasa,1 pieza = 6 g,508
Almond Joy,Azucares con grasa,1 pieza = 48 g,500
Almond Joy miniatura,Azucares con grasa,1 pieza = 20 g,490
Bebida de coco con azúcar,Azucares con grasa,1 taza = 240 g,31
Bebida de macadamia con azúcar,Azucares con grasa,1 taza = 240 g,32
Bebida vegetal Silk Almendra sabor chocolate,Azucares con grasa,1 pieza = 190 g,47
Cacahuate confitado (chocolate),Azucares con grasa,1 pieza = 4 g,519
Carlos V,Azucares con grasa,1 pieza = 33 g,509
Carlos V semiamargo,Azucares con grasa,1 pieza = 20 g,495
Chai descafeinado en polvo,Azucares con grasa,1 cucharada = 14 g,417
Chai en polvo sin azúcar,Azucares con grasa,1 cucharada = 14 g,389
Chai especies en polvo,Azucares con grasa,1 cucharada = 14 g,450
Chai vainilla descafeinado sin azúcar en polvo,Azucares con grasa,1 cucharada = 14 g,361
Chai vainilla en polvo,Azucares con grasa,1 cucharada = 14 g,450
Chai verde en polvo,Azucares con grasa,1 cucharada = 14 g,417
Chispas chocolate Hershey,Azucares con grasa,1 cucharadita = 3 g,524
Chispas de chocolate,Azucares con grasa,1 cucharadita = 4 g,522
ChocoMentas,Azucares con grasa,1 gramos = 1 g,461
Chocolate Carlos V,Azucares con grasa,1 pieza = 18 g,494
Chocolate Carlos V semiamargo,Azucares con grasa,1 pieza = 20 g,495
Chocolate Crunch,Azucares con grasa,1 pieza = 40 g,530
Chocolate Ferrero Rocher,Azucares con grasa,1 pieza = 13 g,553
Chocolate Kinder Delice,Azucares con grasa,1 pieza = 40 g,445
Chocolate Kit Kat,Azucares con grasa,1 pieza = 42 g,514
Chocolate Larín almedra,Azucares con grasa,1 pieza = 24 g,550
Chocolate Larín avellana,Azucares con grasa,1 pieza = 24 g,517
Chocolate M&M minis,Azucares con grasa,1 tubo = 31 g,457
Chocolate Milky Way,Azucares con grasa,1 pieza = 48 g,450
Chocolate Milkyway mini,Azucares con grasa,1 pieza = 8 g,441
Chocolate Reese's,Azucares con grasa,1 pieza = 20 g,540
Chocolate Snickers,Azucares con grasa,1 pieza = 48 g,469
Chocolate Turín conejo,Azucares con grasa,1 pieza = 20 g,550
Chocolate Twix,Azucares con grasa,1 pieza = 25 g,484
Chocolate amargo,Azucares con grasa,1 pieza = 42 g,500
Chocolate barra Milch,Azucares con grasa,1 pieza = 30 g,465
Chocolate blanco,Azucares con grasa,1 gramos = 1 g,540
Chocolate blanco sin azúcar,Azucares con grasa,1 gramos = 1 g,474
Chocolate con almendras,Azucares con grasa,1 barra = 50 g,513
Chocolate con arroz tostado,Azucares con grasa,1 barra = 43 g,538
Chocolate con azúcar,Azucares con grasa,1 gramos = 1 g,467
Chocolate con galleta y caramelo,Azucares con grasa,1 barra = 30 g,500
Chocolate con leche,Azucares con grasa,1 gramos = 1 g,427
Chocolate con leche con menos del 10% proteínas,Azucares con grasa,1 gramos = 1 g,429
Chocolate con leche y almendras sin azúcar,Azucares con grasa,1 gramos = 1 g,573
Chocolate con nugat,Azucares con grasa,1 pieza = 58 g,458
Chocolate con nugat y cacahuate,Azucares con grasa,1 pieza = 58 g,474
Chocolate conejo Turín,Azucares con grasa,1 pieza = 20 g,550
Chocolate de coco y almendra,Azucares con grasa,1 pieza = 48 g,488
Chocolate de leche,Azucares con grasa,1 pieza = 26 g,518
Chocolate de menta,Azucares con grasa,1 pieza = 8 g,400
Chocolate en polvo DICONSA,Azucares con grasa,1 gramos = 1 g,376
Chocolate en polvo con menos del 10% proteínas,Azucares con grasa,1 gramos = 1 g,400
Chocolate en polvo con más del 10% proteínas,Azucares con grasa,1 gramos = 1 g,400
Chocolate en polvo sin azúcar,Azucares con grasa,1 cucharadita = 5 g,400
Chocolate fundido,Azucares con grasa,1 cucharada = 19 g,421
Chocolate para repostería sin azúcar,Azucares con grasa,1 gramos = 1 g,480
Chocolate rallado,Azucares con grasa,1 cucharadita = 3 g,512
Chocolate semi amargo,Azucares con grasa,1 gramos = 1 g,476
Chocolate sin azúcar,Azucares con grasa,1 gramos = 1 g,567
Chocolate suizo de la Rosa,Azucares con grasa,1 pieza = 20 g,573
Chocoretas,Azucares con grasa,1 gramos = 1 g,461
Cocada,Azucares con grasa,1 pieza = 28 g,438
Crema en polvo para café,Azucares con grasa,1 cucharadita = 2 g,544
Crunch,Azucares con grasa,1 pieza = 40 g,530
Cubierta de chocolate con nuez,Azucares con grasa,1 cucharadita = 6 g,461
Cubierta de queso crema para pasteles,Azucares con grasa,1 cucharadita = 6 g,417
Duvalín,Azucares con grasa,1 pieza = 15 g,533
Duvalín de fresa,Azucares con grasa,1 pieza = 15 g,533
Flan casero,Azucares con grasa,1 taza = 305 g,146
Flan de caja preparad con leche entera,Azucares con grasa,1 taza = 305 g,113
Flan de caja preparado con leche descremada,Azucares con grasa,1 taza = 305 g,103
Freskas,Azucares con grasa,1 gramos = 1 g,483
Glorias,Azucares con grasa,1 pieza = 28 g,429
Harina de coco,Azucares con grasa,1 cucharada = 10 g,427
Jamoncillo,Azucares con grasa,1 pieza = 36 g,389
Jarabe de coco,Azucares con grasa,1 cucharada = 17 g,98
Kinder Delice,Azucares con grasa,1 paquete = 42 g,452
Kisses de chocolate,Azucares con grasa,1 pieza = 4 g,522
Kranky,Azucares con grasa,1 paquete = 45 g,447
Larín de nuez,Azucares con grasa,1 pieza = 24 g,539
Lunetas,Azucares con grasa,1 paquete = 48 g,494
M&M mini,Azucares con grasa,1 tubo = 31 g,457
Malvavisco con chocolat,Azucares con grasa,1 pieza = 28 g,421
Mayonesa baja en grasa,Azucares con grasa,1 cucharada = 14 g,332
Mayonesa light,Azucares con grasa,1 cucharada = 14 g,332
Mazapán,Azucares con grasa,1 pieza = 25 g,447
Menta cubierta con chocolate,Azucares con grasa,1 pieza = 9 g,393
Mole,Azucares con grasa,1 cucharada = 16 g,165
Mole de pepita,Azucares con grasa,1 cucharada = 16 g,512
Mole poblano en pasta,Azucares con grasa,1 cucharada = 16 g,569
Mole poblano preparado,Azucares con grasa,1 cucharada = 16 g,165
Mousse de chocolate,Azucares con grasa,1 taza = 200 g,142
Natilla Danette sabor chocolate,Azucares con grasa,1 pieza = 100 g,130
Natilla Danette sabor vainilla,Azucares con grasa,1 pieza = 100 g,120
Nutella de avellana,Azucares con grasa,1 cucharada = 15 g,553
Palanqueta de,Azucares con grasa,1 pieza = 45 g,520
Paleta Payaso,Azucares con grasa,1 pieza = 46 g,370
Paleta helada de café con cubierta de chocolate y almendras,Azucares con grasa,1 pieza = 105 g,352
Paleta helada de chocolate cubierta con chocolate,Azucares con grasa,1 pieza = 105 g,343
Paleta helada de cr con café cubierta de chocolate y almendras,Azucares con grasa,1 pieza = 105 g,352
Paleta helada de vainilla cubierta con chocolate,Azucares con grasa,1 pieza = 96 g,346
Paleta helada de vainilla cubierta con chocolate y almendras,Azucares con grasa,1 pieza = 92 g,348
Pipián,Azucares con grasa,1 gramos = 1 g,513
Rompope sin alcohol,Azucares con grasa,1 taza = 256 g,134
Salsa de cebollín,Azucares con grasa,1 gramos = 1 g,252
Salsa de epazote,Azucares con grasa,1 gramos = 1 g,205
Salsa gravy de pollo,Azucares con grasa,1 cucharada = 20 g,48
Adams Deemint menta,Azucares sin grasa,1 pieza = 6 g,364
Adams Halls Colors,Azucares sin grasa,1 pieza = 3 g,400
Adams Halls cereza,Azucares sin grasa,1 pieza = 3 g,400
Adams Halls limón con miel de abeja,Azucares sin grasa,1 pieza = 3 g,391
Aderezos para ensalada bajos en calorías y grasa,Azucares sin grasa,1 taza = 258 g,47
Agua quina,Azucares sin grasa,1 lata = 355 g,36
Ate,Azucares sin grasa,1 gramos = 1 g,315
Ate de guayaba,Azucares sin grasa,1 gramos = 1 g,315
Ate de membrillo,Azucares sin grasa,1 gramos = 1 g,315
Azúcar BC,Azucares sin grasa,1 cucharadita = 5 g,400
Azúcar blanca,Azucares sin grasa,1 cucharadita = 4 g,412
Azúcar de mesa,Azucares sin grasa,1 cucharadita = 4 g,412
Azúcar glass,Azucares sin grasa,1 cucharadita = 2 g,390
Azúcar granulada,Azucares sin grasa,1 cucharadita = 4 g,412
Azúcar mascabado,Azucares sin grasa,1 cucharadita = 5 g,360
Azúcar morena,Azucares sin grasa,1 cucharadita = 3 g,378
Bebida de almendra con azúcar,Azucares sin grasa,1 taza = 240 g,30
Bebida de lichi,Azucares sin grasa,1 lata = 354 g,47
Bebida láctea fermentada,Azucares sin grasa,1 pieza = 80 g,62
Bebida para deportistas,Azucares sin grasa,1 bote = 608 g,26
Bebida para deportistas en polvo,Azucares sin grasa,1 cucharadita = 5 g,360
Boing,Azucares sin grasa,1 paquete = 250 g,33
Boing guayaba,Azucares sin grasa,1 lata = 339 g,32
Boing mango,Azucares sin grasa,1 lata = 339 g,35
Bolitochas,Azucares sin grasa,1 pieza = 9 g,400
Bombón de chocolate,Azucares sin grasa,1 pieza = 7 g,129
Boost*,Azucares sin grasa,1 lata = 236 g,42
Borrachos envinados,Azucares sin grasa,1 pieza = 13 g,331
Bubbaloo Crack Ups,Azucares sin grasa,1 pieza = 1 g,400
Bubbaloo fresa,Azucares sin grasa,1 pieza = 6 g,282
Bubbaloo menta,Azucares sin grasa,1 pieza = 6 g,282
Bubbaloo paleta,Azucares sin grasa,1 pieza = 16 g,375
Bubulubu,Azucares sin grasa,1 pieza = 36 g,383
Café capuchino heladO,Azucares sin grasa,1 taza = 242 g,54
Café capuchino instantáneo,Azucares sin grasa,1 cucharadita = 4 g,400
Cajeta,Azucares sin grasa,1 cucharadita = 6 g,400
Cajeta reducida en azúcar,Azucares sin grasa,1 cucharada = 15 g,293
Caramelo,Azucares sin grasa,1 pieza = 6 g,392
Caramelo Deemint menta,Azucares sin grasa,1 pieza = 6 g,364
Caramelo de mantequilla,Azucares sin grasa,1 pieza = 6 g,409
Caramelo macizo,Azucares sin grasa,1 pieza = 6 g,392
Caramelo salvavidas,Azucares sin grasa,1 pieza = 2 g,400
Castaña,Azucares sin grasa,1 pieza = 11 g,200
Castaña asada,Azucares sin grasa,1 gramos = 1 g,367
Castaña con cáscara,Azucares sin grasa,1 pieza = 9 g,217
Cerecets,Azucares sin grasa,1 gramos = 1 g,400
Checolines,Azucares sin grasa,1 gramos = 1 g,300
Chewy candy,Azucares sin grasa,1 pieza = 26 g,338
Chicle,Azucares sin grasa,1 pieza = 30 g,247
Chicle bajo en azúcar,Azucares sin grasa,1 pieza = 2 g,267
Chicloso,Azucares sin grasa,1 pieza = 12 g,383
Chocolate Don Gustavo en polvo,Azucares sin grasa,1 cucharadita = 5 g,410
Chocolate en polvo Morelia,Azucares sin grasa,1 cucharadita = 5 g,390
Chocolate en polvo sin azúcar,Azucares sin grasa,1 cucharadita = 5 g,400
Chocolate en tableta (Abuelita),Azucares sin grasa,1 gramos = 1 g,450
Chocolate líquido,Azucares sin grasa,1 cucharada = 18 g,278
Coca Cola,Azucares sin grasa,1 lata = 355 g,42
Cocentrado de coco almedra,Azucares sin grasa,1 cucharada = 15 g,260
Cocoa en polvo,Azucares sin grasa,1 cucharadita = 5 g,400
Concentrado de jugo de arándano,Azucares sin grasa,1 cucharada = 15 g,196
Concentrado sabor fresa,Azucares sin grasa,1 cucharada = 15 g,293
Concentrado sabor guayaba,Azucares sin grasa,1 cucharada = 15 g,267
Concentrado sabor horchata,Azucares sin grasa,1 cucharadita = 5 g,400
Concentrado sabor jamaica,Azucares sin grasa,1 cucharada = 15 g,221
Concentrado sabor limón,Azucares sin grasa,1 cucharada = 15 g,267
Concentrado sabor mandarina,Azucares sin grasa,1 cucharada = 15 g,267
Concentrado sabor naranja,Azucares sin grasa,1 cucharada = 15 g,267
Concentrado sabor piñ,Azucares sin grasa,1 cucharada = 15 g,267
Concentrado sabor tamarindo,Azucares sin grasa,1 cucharada = 15 g,267
Concentrado sabor uva,Azucares sin grasa,1 cucharada = 15 g,267
Crack Ups,Azucares sin grasa,1 pieza = 1 g,400
Crayón,Azucares sin grasa,1 pieza = 33 g,336
Crazy Dips sabor fruta,Azucares sin grasa,1 sobre = 12 g,375
Cubierta de chocolate,Azucares sin grasa,1 cucharadita = 6 g,400
Cubierta de fresa,Azucares sin grasa,1 cucharadita = 5 g,256
Cubierta de piña,Azucares sin grasa,1 cucharadita = 5 g,250
Cuchara mango y tamarindo,Azucares sin grasa,1 pieza = 16 g,400
Cueritos de fruta,Azucares sin grasa,1 pieza = 22 g,355
Cáscara de fruta cristalizada,Azucares sin grasa,1 gramos = 1 g,325
Cáscara de naranja cristalizada,Azucares sin grasa,1 gramos = 1 g,320
Danette Flan vainilla,Azucares sin grasa,1 pieza = 57 g,109
Danette Natilla chocolate,Azucares sin grasa,1 pieza = 100 g,132
"Dany, gelatina de agua",Azucares sin grasa,1 pieza = 126 g,68
Del Valle naranjada&nada,Azucares sin grasa,1 taza = 239 g,46
Delaware Punch,Azucares sin grasa,1 lata = 356 g,44
Dextrosa,Azucares sin grasa,1 cucharadita = 4 g,375
Dulce de tamarindo,Azucares sin grasa,1 pieza = 14 g,329
Fanta,Azucares sin grasa,1 lata = 355 g,38
Flan en polvo,Azucares sin grasa,1 cucharada = 12 g,350
Fresca,Azucares sin grasa,1 lata = 358 g,34
Fructosa,Azucares sin grasa,1 cucharadita = 4 g,367
Fruta cristalizada,Azucares sin grasa,1 gramos = 1 g,300
Fuze Tea mandarina,Azucares sin grasa,1 lata = 452 g,32
Fuze Tea mango manzanilla,Azucares sin grasa,1 lata = 452 g,32
Fuze Tea negro durazn,Azucares sin grasa,1 lata = 455 g,49
Fuze Tea negro limón,Azucares sin grasa,1 lata = 452 g,32
Fuze Tea verde limón,Azucares sin grasa,1 lata = 452 g,32
Gatorade variedad de sabores,Azucares sin grasa,1 ml = 1 g,23
Gelatina,Azucares sin grasa,1 taza = 179 g,63
Gelatina de agua Dany sabor cola,Azucares sin grasa,1 envase = 40 g,70
Gelatina de anís,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de cereza,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de chocolate,Azucares sin grasa,1 cucharada = 16 g,96
Gelatina de chocolate de leche,Azucares sin grasa,1 cucharada = 16 g,96
Gelatina de durazno,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de frambuesa,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de fresa de agua,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de fresa de leche,Azucares sin grasa,1 cucharada = 16 g,96
Gelatina de grosella,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de jerez,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de limón,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de mandarina,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de manzana,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de mora azul,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de naranja,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de nuez de leche,Azucares sin grasa,1 cucharada = 16 g,96
Gelatina de pistache,Azucares sin grasa,1 cucharada = 16 g,96
Gelatina de piña,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de rompope,Azucares sin grasa,1 cucharada = 16 g,96
Gelatina de sabor en polvo,Azucares sin grasa,1 gramos = 1 g,380
Gelatina de uva,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina de vainilla,Azucares sin grasa,1 cucharada = 16 g,96
Gelatina de vainilla de leche,Azucares sin grasa,1 cucharada = 16 g,96
Gelatina de zarzamora,Azucares sin grasa,1 cucharada = 16 g,62
Gelatina en polvo para agua,Azucares sin grasa,1 gramos = 1 g,380
