alimento,grupo,equivalencia_casera,kcal_por_100g
Queso Manchego rebanado,AOA AAG,1 gramos = 1 g,408
Queso Menonita,AOA AAG,1 gramos = 1 g,380
Queso Monterrey,AOA AAG,1 gramos = 1 g,372
Queso Mozzarella,AOA AAG,1 gramos = 1 g,300
Queso Mozzarella rallado,AOA AAG,1 gramos = 1 g,300
Queso Mozzarella suave,AOA AAG,1 rebanada = 28 g,318
Queso Muenster,AOA AAG,1 rebanada = 28 g,368
Queso Neufchatel,AOA AAG,1 gramos = 1 g,260
Queso Oaxaca,AOA AAG,1 gramos = 1 g,317
Queso Port Salut,AOA AAG,1 rebanada = 28 g,354
Queso Provolone,AOA AAG,1 rebanada = 28 g,350
Queso Ricotta,AOA AAG,1 taza = 248 g,173
Queso Romano,AOA AAG,1 gramos = 1 g,387
Queso Roquefort,AOA AAG,1 gramos = 1 g,368
Queso Suizo,AOA AAG,1 rebanada = 28 g,379
Queso Suizo rallado,AOA AAG,1 cucharada = 7 g,221
Queso Velveta,AOA AAG,1 gramos = 1 g,286
Queso amarillo,AOA AAG,1 rebanada = 21 g,238
Queso añejo,AOA AAG,1 gramos = 1 g,380
Queso añejo rallado,AOA AAG,1 cucharada = 7 g,376
Queso crema light,AOA AAG,1 cucharada = 15 g,231
Queso de cabra con ceniza,AOA AAG,1 gramos = 1 g,269
Queso de cabra duro,AOA AAG,1 gramos = 1 g,455
Queso de cabra semi suave,AOA AAG,1 rebanada = 28 g,364
Queso de cabra suave,AOA AAG,1 gramos = 1 g,269
Queso fundido,AOA AAG,1 cucharada = 15 g,229
Queso pasteurizado Americano,AOA AAG,1 rebanada = 28 g,375
Queso pasteurizado Suizo,AOA AAG,1 rebanada = 21 g,328
Queso tipo Americano,AOA AAG,1 rebanada = 18 g,374
Queso tipo Roquefort,AOA AAG,1 gramos = 1 g,368
Retazo,AOA AAG,1 gramos = 0 g,297
Retazo con hueso,AOA AAG,1 gramos = 0 g,297
Retazo de pollo,AOA AAG,1 gramos = 0 g,297
Retazo de res,AOA AAG,1 gramos = 0 g,297
Retazo de ternera,AOA AAG,1 gramos = 0 g,297
Rib Eye,AOA AAG,1 gramos = 1 g,273
Salami,AOA AAG,1 rebanada = 9 g,385
Salami de ternera,AOA AAG,1 rebanada = 7 g,262
Salchicha,AOA AAG,1 pieza = 45 g,335
Salchicha Vienna,AOA AAG,1 pieza = 16 g,229
Salchicha Vienna ahumada,AOA AAG,1 pieza = 27 g,227
