id,grupo,alimento,cantidad,unidad,peso_bruto_g,peso_neto_g,kcal,prot_g,lip_g,hc_g,agsat_g,agmono_g,agpoli_g,colest_mg,azucar_g,fibra_g,vita_ug,ac_ascorbico_mg,ac_folico_ug,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,ig,cg
avena-quaker-old-fashion,Cereales S/G,Avena Quaker Old Fashion,0.5,taza,20,20,68,2.8,1.1,11.8,,,,,0.3,1.9,,,,,,,,,0,,
avena-quaker-old-fashioed,Cereales S/G,Avena Quaker Old Fashioed,0.5,taza,20,20,71,2.7,1.5,11.7,0.3,0.5,0.4,0,0.3,1.9,,,,,,,,,0,,
bagel,Cereales S/G,Bagel,0.33,pieza,24,24,65,2.5,0.4,12.6,0.1,0,0.2,0,,0.5,,,5.3,17.7,0.8,24,126.3,22.7,0,72,17
bagel-de-ajo,Cereales S/G,Bagel de ajo,0.33,pieza,24,24,67,2.5,0.4,12.9,0,0,0,0,,0.6,,,5.5,18.1,0.9,24.6,129.4,23.2,0,,
bagel-de-ajonjoli,Cereales S/G,Bagel de ajonjolí,0.33,pieza,24,24,74,2.7,0.7,12.9,0,0,0,0,,0.6,,,5.3,,,,145.6,,0,,
bagel-de-avena,Cereales S/G,Bagel de avena,0.33,pieza,24,24,60,2.5,0.3,12.6,0,0.1,0.1,0,,0.9,,,11,3,0.7,48.3,120,39,0,,
bagel-de-canela-y-pasas,Cereales S/G,Bagel de canela y pasas,0.33,pieza,24,24,65,2.3,0.4,13.1,0.1,0,0.2,0,,0.5,2,,5,4.3,0.9,36,76.3,18.3,0,,
bagel-de-cebolla,Cereales S/G,Bagel de cebolla,0.33,pieza,24,24,74,2.7,0.7,12.9,0,0,0,0,,0.6,,,11,,,,145.6,,0,,
bagel-integral,Cereales S/G,Bagel integral,0.33,pieza,24,24,60,2.5,0.3,12.6,0,0,0,0,,0.9,,,5.3,,,,120,,0,,
baguette,Cereales S/G,Baguette,0.14,pieza,27,27,72,2.2,1,13.4,0.2,0.4,0.2,0,1,0.6,,,9.7,29.2,0.8,32.4,145.8,25.9,0,95,26
barquillo,Cereales S/G,Barquillo,1.5,pieza,15,15,64,1.1,1.1,12,0,0.4,0.4,0,,0.4,,,,3.8,0.5,15,22.5,15,0,,
barra-de-amaranto,Cereales S/G,Barra de amaranto,1.5,pieza,21,21,74,1.7,0.6,15.5,0.2,0,0,0,11.3,1.5,,,,,,,1.1,,0,,
barra-de-cereal-con-fruta,Cereales S/G,Barra de cereal con fruta,1.5,pieza,21,21,72,1.2,0.2,16.3,0,0.1,0.1,0,9.5,1.6,0.2,0.4,,0.6,0.8,,3.4,,0,,
barra-kelloggs-special-k-chocolate-semiamargo,Cereales S/G,Barra Kelloggs Special K Chocolate semiamargo,1,barra,21,21,80,1.1,1.6,15.4,0.7,,,,5.8,0.9,,,100,,3.5,,45.8,,,,
barra-kelloggs-special-k-cosecha-roja,Cereales S/G,Barra Kelloggs Special K Cosecha roja,1,barra,21,21,80,1,1.4,15.9,0.6,,,,6.4,0.7,,,100,,3.5,,40.7,,,,
barra-kelloggs-special-k-sabor-vainilla-y-frambuesa,Cereales S/G,Barra Kelloggs Special K Sabor Vainilla y Frambuesa,1,barra,21,21,81,1.1,1.5,15.7,0.8,,,,5.8,0.7,,,100,,3.5,,42.2,,,,
barra-special-k-varios-sabores,Cereales S/G,Barra Special K Varios Sabores,1,pieza,24,24,90,2,1,19,0.3,0.3,0.4,0,2.6,0.5,,,,,,,104.9,,0,,
barra-stila-quaker-sabor-manzana-canela,Cereales S/G,Barra Stila Quaker Sabor Manzana Canela,0.75,pieza,19,19,66,1.5,1.3,12.2,0.5,0.5,0.4,0,5.2,1.5,,,,,,,71.3,,0,,
barra-stila-varios-sabores,Cereales S/G,Barra Stila Varios Sabores,0.75,pieza,19,19,68,1.6,1.3,12.4,,,,,5.3,1.5,,,,,,,71.3,,0,,
barrita-de-avena,Cereales S/G,Barrita de avena,0.5,pieza,14,14,56,0.8,1.1,11.1,0.3,0.5,0.2,0,4.8,0.5,,,2,4.5,0.3,31,52.5,21.5,0,,
barrita-de-granola-sabor-manzana,Cereales S/G,Barrita de granola sabor manzana,0.5,pieza,14,14,55,0.8,1,11.3,0.3,0.5,0.2,0,5.1,0.7,,,2,4.5,0.3,30.5,39.5,24.5,0,,
bebida-vegetal-silk-avena-sin-azucar-y-sin-endulzar,Cereales S/G,Bebida vegetal Silk Avena sin azúcar y sin endulzar,1,taza,240,240,75,1,3.4,10.3,0.5,2.4,0.5,0,3.4,0.2,95.5,,,421,,,141.4,,,,
birote,Cereales S/G,Birote,0.33,pieza,22,22,67,2.1,0,14.1,0,0,0,0,,0.1,,,,9.1,0.3,24.3,123.3,27.5,0,,
bolillo,Cereales S/G,Bolillo,0.33,pieza,20,20,73,2.2,0.3,15.2,0,0,0,0,,0.7,,,,8.3,0.2,22.2,112.7,25.1,0,,
bolillo-integral,Cereales S/G,Bolillo integral,0.33,pieza,20,20,64,2.1,0.1,13.4,0,0,0,0,,0.2,,,,12.3,0.6,,68.5,24.4,0,,
bolillo-integral-sin-migajon,Cereales S/G,Bolillo integral sin migajón,0.5,pieza,27,27,73,2.6,1,13.8,0.3,0.2,0.3,0.1,,0.3,,,,16.9,0.8,,94.5,33.6,0,,
bolillo-sin-migajon,Cereales S/G,Bolillo sin migajón,0.5,pieza,30,30,79,2.5,0.9,15.2,0.3,0.2,0.2,0.1,,0.2,,,,12.6,0.4,33.6,170.7,38.1,0,,
bpnnp-de-hamburguesa,Cereales S/G,Bpññp de hamburguesa,0.33,pieza,9,9,23,0.9,0.4,4.5,0,0,0,0,0.6,0.2,,,,9.3,0.3,,39,,0,,
bollos-para-hamburguesa,Cereales S/G,Bollos para hamburguesa,0.33,pieza,25,25,65,2.4,1.1,12.5,0.1,0,0,0,1.8,0.6,,,,25.7,0.7,,108.2,,0,,
burbujas-de-maiz-azucaradas,Cereales S/G,Burbujas de maíz azucaradas,0.5,taza,16,16,59,0.7,0.1,14,0,0.1,0.1,0,7,0.2,,7.5,50,2,0.9,13.5,59.5,4,0,80,12
camote-al-horno,Cereales S/G,Camote al horno,0.33,taza,70,70,70,1.2,0.1,16.4,0,0,0,0,,1.3,148,6.4,15.9,24.7,0.4,264.1,5.6,31,0,,
camote-amarillo,Cereales S/G,Camote amarillo,0.33,taza,69,54,68,0.8,0.4,15.3,0.1,0,0.2,0,,1.6,162.2,14.6,7.6,23.2,1.3,131.4,5.4,,0,,
camote-cocido,Cereales S/G,Camote cocido,0.33,taza,69,69,73,1.1,2,16.8,0,0,0.1,0,,1.3,181,11.8,7.6,14.4,0.4,127.6,8.9,18.6,0,,
camote-con-miel,Cereales S/G,Camote con miel,0.33,taza,59,59,59,0.3,0,14.4,0,0,0,0,,1.2,,0.9,,4.3,0.2,55.9,7.6,7.1,0,,
camote-con-naranja,Cereales S/G,Camote con naranja,0.2,taza,40,40,61,0.2,0,15.2,0,0,0,0,,0,,1.4,,3.3,0.1,33.7,4.2,3.9,0,,
camote-en-dulce,Cereales S/G,Camote en dulce,0.2,taza,52,52,71,0.4,1.7,14.5,0.7,0.3,0.1,4,,1.2,217.9,3.5,5.9,13.4,0.6,98.1,36.6,13.4,0,,
camote-largo,Cereales S/G,Camote largo,0.25,pieza,75,59,73,0.8,0.5,16.6,0.1,0,0.2,0,,1.7,175.5,15.8,8.2,25.2,1.4,1422,5.9,,0,,
camote-poblano-dulce,Cereales S/G,Camote poblano (dulce),0.75,pieza,45,45,62,0.4,1.5,12.6,0.6,0.3,0.1,3.4,,1.1,188.6,3,5.1,11.6,0.5,84.9,31.7,11.6,0,,
canelones,Cereales S/G,Canelones,4,pieza,20,20,68,1.9,1,14.6,0,0,0,0,,0.4,,,5,5.2,0.4,39.4,0.4,,0,,
cascara-de-papa-cruda,Cereales S/G,Cáscara de papa cruda,2.5,taza,125,125,73,3.2,0.1,15.6,0,0,0,0,,3.1,,24.6,21.3,37.5,4.1,516.3,12.5,58,0,,
cebada,Cereales S/G,Cebada,20,gramos,20,20,69,2.2,0.5,15.3,0.1,0,0.2,0,0.1,2.1,,,4.6,5.4,0.4,52.1,13,42.1,0,,
cebada-perla-cocida,Cereales S/G,Cebada perla cocida,0.33,taza,52,52,64,1.2,0.2,14.8,0,0,0.1,0,,2,0.7,,8.3,5.7,0.7,48.7,1.7,28.3,0,25,13
centeno,Cereales S/G,Centeno,5,cdita,22,22,72,2.6,0.4,15.9,0,0,0,0,,0.4,,,,8.2,0.8,,,,0,41,9
cereal-avena-flakes,Cereales S/G,Cereal Avena Flakes,0.75,taza,19,19,68,1.9,1.1,12.6,,,,,2.8,1.9,,,,,,,53.1,,0,,
cereal-chewy-para-ninos-varios-sabores,Cereales S/G,Cereal Chewy para Niños Varios Sabores,0.5,pieza,14,14,52,0.9,0.7,10.5,,,,,3.3,1.2,,,,,,,46.7,,0,,
cereal-con-almendras-y-pasas,Cereales S/G,Cereal con almendras y pasas,0.33,taza,19,19,70,1.5,0.7,16.5,0,0,0,0,4,1.6,,,33.3,9.3,2.1,60,100,50,0,,
cereal-de-arroz,Cereales S/G,Cereal de arroz,0.5,taza,17,17,67,1.4,0.5,14.1,0,0,0,0,0.2,1.1,,7.5,2.5,9.1,7.9,63.7,2,20,0,,
ceral-de-arroz-inflado-con-chocolate,Cereales S/G,Ceral de arroz inflado con chocolate,0.5,taza,16,16,62,1.1,0.6,13.8,0.3,0.1,0.1,0,1.5,1.2,,7.7,3,4.5,0.2,38.1,1.9,10.3,0,82,13
cereal-de-avena-con-maple,Cereales S/G,Cereal de avena con maple,0.33,taza,27,27,65,4.6,1.9,17.6,0.3,0.6,0.8,0,,4.1,,,13.8,15.5,1.4,150.5,0.9,196.1,0,,
cereal-de-avena-integral-seco,Cereales S/G,"Cereal de avena integral, seco",0.33,taza,19,19,71,2.9,1,13.8,0.2,0.3,0.4,0,3.1,2.2,,2,34.7,10.3,5.4,86,68.3,100.7,0,,
cereal-de-galletas-de-chispa-de-chocolate,Cereales S/G,Cereal de galletas de chispa de chocolate,0.5,taza,15,15,60,0.5,0.8,13,0,0.3,0,0,6.5,0.6,,3,,50,2.3,,85,,0,,
cereal-de-maiz-reventado-con-azucar,Cereales S/G,Cereal de maíz reventado con azúcar,0.5,taza,16,16,59,0.5,0.5,13.6,0.1,0.2,0.1,0,6.7,0.6,,3.1,,25.8,9.9,,620,,0,,
cereal-de-maiz-reventado-sabor-chocolate-y-crema-de-cacahuate,Cereales S/G,Cereal de maíz reventado sabor chocolate y crema de cacahuate,0.33,taza,14,14,61,0.9,1.6,10.6,0.2,0.7,0.5,0,5.6,0.6,,2.8,,46.7,2.3,,93.3,,0,,
cereal-de-salvado-de-trigo,Cereales S/G,Cereal de salvado de trigo,0.33,taza,21,21,54,2.6,0.7,15.3,0.1,0.1,0.5,0,4,6.7,,10,66.7,66.7,3,206.7,189.3,200,0,42,9
cereal-de-trigo-con-canela,Cereales S/G,Cereal de trigo con canela,0.33,taza,13,13,58,0.4,1.6,10.7,0.2,0.4,0,0,4.4,0.4,,6.7,44.4,17.8,2,20,93.3,26.7,0,,
cereal-de-trigo-sabor-frutas,Cereales S/G,Cereal de trigo sabor frutas,0.5,taza,15,15,60,0.5,0.8,13,0,0.5,0,0,6.5,0,,7.5,50,10,2.1,10,100,10,0,69,10
cereal-integral-con-pasitas,Cereales S/G,Cereal integral con pasitas,0.33,taza,20,20,66,2,0.5,15.7,0,0.2,0.3,0,6,2.7,,,33.3,11.7,1.5,116.7,130,66.7,0,42,9
cereal-kelloggsgs-s-all-bran-flakes-cosecha-frutal,Cereales S/G,Cereal Kelloggsgs's All-Bran Flakes Cosecha Frutal,0.66,taza,26,26,78,2.6,0.4,15.8,0.1,,,,3.8,3.4,,,66,,2.3,,576,,,,
cereal-kelloggsgs-s-all-bran-flakes-manzana-crunch,Cereales S/G,Cereal Kelloggsgs's All-Bran Flakes Manzana Crunch,0.66,taza,26,26,87,3.3,1.4,15.3,0.1,,,,4.2,4.6,,,66,,2.3,,61.2,,,,
cereal-kelloggss-s-all-bran-flakes-natural,Cereales S/G,Cereal Kelloggss's All-Bran Flakes Natural,0.66,taza,26,26,85,3.2,0.4,17.2,0,,,,2.1,4,,,66,,2.3,,68.6,,,,
cereal-kelloggss-s-all-bran-flakes-pasas,Cereales S/G,Cereal Kelloggss's All-Bran Flakes Pasas,0.66,taza,26,26,79,2.5,0.4,16.4,0.1,,,,4.2,3.4,,,66,,2.3,,51.7,,,,
cereal-kelloggss-s-all-bran-original,Cereales S/G,Cereal Kelloggss's All-Bran Original,0.75,taza,30,30,82,3,1.1,15,0,,,,4.5,8.7,,,75,,2.6,,67.5,,,,
cereal-kelloggs-choco-krispis-krunchers,Cereales S/G,Cereal Kelloggs Choco Krispis Krunchers,0.75,taza,26,26,69,1.8,0.8,13.7,0.3,0.3,0.3,0,1.3,6,175.1,13.1,42,131,3.1,,91.6,,,,
cereal-kelloggs-corn-flakes,Cereales S/G,Cereal Kelloggs Corn Flakes,0.66,taza,20,20,73,1.2,2,16.6,0,,,,1.8,0.7,,,65.9,,2.3,,69.1,,,,
cereal-kelloggs-froot-loops-krunchers,Cereales S/G,Cereal Kelloggs Froot Loops Krunchers,1,taza,30,30,82,1.8,1.2,15.9,0.8,0.2,0.3,0,2.1,6.6,,,99.9,,3.5,,104.7,,,,
cereal-kelloggs-rice-krispies,Cereales S/G,Cereal Kelloggs Rice Krispies,0.5,taza,18,18,67,1.4,0.2,15,0.1,,,,0.1,0.2,,,59.5,,2.1,,57.5,,,,
cereal-kelloggs-special-k-antioxidantes,Cereales S/G,Cereal Kelloggs Special K Antioxidantes,0.5,taza,19,19,69,1.5,0.3,15,0,,,,1.2,0.9,125.1,9.4,30,93.8,2.2,,65.4,,,,
cereal-kelloggs-special-k-energia,Cereales S/G,Cereal Kelloggs Special K Energía,0.5,taza,19,19,74,1.3,0.9,15,0.8,,,,3.9,0.6,125.1,9.4,30,93.8,2.2,,65.4,,,,
cereal-kelloggs-special-k-equilibrio,Cereales S/G,Cereal Kelloggs Special K Equilibrio,0.5,taza,19,19,75,1.6,1,15,0.1,,,,1,0.8,129.9,9.7,31.2,97.4,2.3,,68,,,,
cereal-kelloggs-special-k-original,Cereales S/G,Cereal Kelloggs Special K Original,0.66,taza,20,20,72,1.6,0.3,15.6,0.1,0,0.2,0,1,1,132.1,9.9,31.7,99,2.3,,69.1,,,,
cereal-kelloggs-zucaritas-krunchers,Cereales S/G,Cereal Kelloggs Zucaritas Krunchers,1,taza,36,36,98,2.2,1.4,19.1,0.7,0.4,0.4,0,2.5,7.9,,,119.9,,4.2,,125.6,,,,
cereal-multibran-flakes,Cereales S/G,Cereal Multibran Flakes,0.75,taza,19,19,65,2.4,1.3,11.1,,,,,0.4,2.6,,,,,,,90.6,,0,,
cereal-multibran-pasas,Cereales S/G,Cereal Multibran Pasas,0.75,taza,19,19,66,2,1,12.1,,,,,3.9,2.3,,,,,,,71.9,,0,,
cereal-multigrano,Cereales S/G,Cereal multigrano,0.25,taza,20,20,67,2.3,0.5,14.7,0.1,0.1,0.3,0,0.1,2.4,,,5.5,7,0.6,82.5,0.5,69,0,,
cereal-quaker-avena-oh-s,Cereales S/G,Cereal Quaker Avena Oh's,0.66,taza,20,20,70,1.4,0.7,14.5,0.1,0.2,0.2,0,4.7,1.9,26.3,2.4,8.4,,0.5,,46.9,,0,,
cereal-quaker-chewy-sabor-frutas,Cereales S/G,Cereal Quaker Chewy Sabor Frutas,0.66,taza,20,20,73,1.3,0.9,14.8,0.4,0.2,0.2,0,5,1.7,25.1,2.3,4.6,,0.3,,100.5,,0,,
cereal-quaker-multibran-pasas,Cereales S/G,Cereal Quaker Multibran Pasas,0.66,taza,20,20,70,2.1,1.1,13,0.2,0.3,0.5,0,4.2,2.4,19.4,1.7,6.1,,0.6,,77.1,8,0,,
cereal-quaker-stila-sabor-manzana-canela,Cereales S/G,Cereal Quaker Stila Sabor Manzana Canela,0.66,taza,20,20,74,1.7,1,14.4,0.2,0.4,0.3,0,3.7,1.8,,,,,,,90.5,,0,,
cereal-sin-azucar,Cereales S/G,Cereal sin azúcar,0.5,taza,14,14,51,1.2,0.1,12,0.1,0,0.1,0,1,0.6,,7.5,50,0.5,4.1,12.5,152,5.5,0,,
chapata,Cereales S/G,Chapata,0.33,pieza,23,23,58,2.1,0,12,0,0,0,0,0.4,0.4,,,,24.7,0.7,,144.4,,0,,
codito-crudo,Cereales S/G,Codito crudo,20,gramos,20,20,74,2.5,0.2,15,0,0,0.1,0,,0.1,,,5,5.4,0.3,39.4,0.4,,0,,
coditos-con-crema-deshidratados,Cereales S/G,Coditos con crema deshidratados,1.5,cda,15,15,61,1.9,1.5,9.6,0,0,0,0,,0,,,,,0.2,,122.9,,0,,
couscous,Cereales S/G,Couscous,0.33,taza,52,52,58,2,0.1,12,0,0,0,0,0.1,0.7,,,,4.3,0.2,,2.6,,0,,
crepas,Cereales S/G,Crepas,2,pieza,30,30,69,1.6,1,13.1,0,0,0,0.5,,0.5,,,0.2,0.3,0.3,,147.5,,0,,
crepas-para-rellenar,Cereales S/G,Crepas para rellenar,2,pieza,30,30,69,2.3,1.4,11.6,0,0,0,22.5,,0.3,,,0.2,0.3,0.3,,116.4,,0,,
crepas-saladas,Cereales S/G,Crepas saladas,2,pieza,30,30,69,1.6,1,13.1,0,0,0,0.5,,0.5,,,0.2,0.3,0.3,,147.5,,0,,
croutones,Cereales S/G,Croutones,0.5,taza,15,15,61,1.8,1,11.1,0.3,0.5,0.2,0,,0.8,,,3.5,11.5,0.6,18.5,104.5,17.5,0,,
cuadritos-de-avena,Cereales S/G,Cuadritos de avena,0.33,taza,19,19,71,2.9,1,13.8,0.2,0.3,0.4,0,3.1,2.2,,2,34.7,10.3,5.4,86,68.3,100.7,0,,
cuadritos-de-avena-con-salvado,Cereales S/G,Cuadritos de avena con salvado,0.33,taza,19,19,71,2.9,1,13.8,0.2,0.3,0.4,0,3.1,2.2,,2,34.7,10.3,5.4,86,68.3,100.7,0,,
curcuma,Cereales S/G,Cúrcuma,160,gramos,160,138,73,5.6,0,13.2,0,0,0,0,,1.7,,6.9,,70.2,16.8,,,,0,,
discos-de-amaranto,Cereales S/G,Discos de amaranto,0.14,pieza,4,4,23,2.3,0.4,15,0.1,0,0.2,0,,0.3,,,,,,,30,,0,,
elote-amarillo-cocido,Cereales S/G,Elote amarillo cocido,1.5,pieza,174,66,71,2.2,0.8,16.6,0.2,0.2,0.4,0,2.7,1.9,14.5,4,30.4,1.6,0.3,140.2,,67.7,0,53,35
elote-amarillo-congelado,Cereales S/G,Elote amarillo congelado,1.5,pieza,188,71,70,2.3,0.6,16.7,0.1,0,0.3,0,,2,,4.6,27.9,2.9,0.5,215.5,2.3,64.4,0,47,33
elote-amarillo-crudo,Cereales S/G,Elote amarillo crudo,1.33,pieza,186,71,61,2.3,0.9,17.7,0.1,0.3,0.4,0,,2,15.5,4.3,32.7,1.7,0.4,175.7,12.1,62.9,0,,
elote-amarillo-desgranado-cocido,Cereales S/G,Elote amarillo desgranado cocido,0.5,taza,83,83,66,2.3,0.4,16.2,0.2,0.3,0.5,0,2.6,2,18.2,5.1,38.5,3.3,0.3,122,4.2,85,0,,
elote-amarillo-desgrasado-crudo,Cereales S/G,Elote amarillo desgrasado crudo,0.5,taza,83,83,66,2.3,0.4,16.2,0.2,0.3,0.5,0,2.6,2,18.2,5.1,38.5,3.3,0.3,122,4.2,85,0,,
elote-amarillo-enlatado,Cereales S/G,Elote amarillo enlatado,0.5,taza,82,82,66,2.1,0.8,15.2,0.1,0.2,0.4,0,2.3,1.6,13,7,40,4,0.7,160,175,53,0,,NOD
elote-blanco-cocido,Cereales S/G,Elote blanco cocido,1.5,pieza,215,82,70,2.6,1,15.5,0.1,0.3,0.4,0,2.6,2.2,,6.5,37.5,1.6,0.4,220.1,12.2,,0,59,48
elote-blanco-desgranado,Cereales S/G,Elote blanco desgranado,0.5,taza,83,83,66,2.3,0.4,16.2,0.2,0.3,0.5,0,2.6,2,18.2,5.1,38.5,3.3,0.3,122,4.2,85,80,,NID
elote-crudo,Cereales S/G,Elote crudo,1.5,pieza,215,82,70,2.6,1,15.5,0.1,0.3,0.4,0,2.6,22,,6.5,37.5,1.6,0.4,220.1,12.2,,0,,
elote-desgranado,Cereales S/G,Elote desgranado,0.5,taza,83,83,66,2.3,0.4,16.2,0.2,0.3,0.5,0,2.6,2,18.2,5.1,38.5,3.3,0.3,122,4.2,85,0,NID,
elote-enlatado,Cereales S/G,Elote enlatado,0.5,taza,82,82,66,2.1,0.8,15.2,0.1,0.2,0.4,0,2.3,1.6,13,7,40,4,0.7,160,175,53,0,46,38
english-muffin,Cereales S/G,English Muffin,0.5,pieza,29,29,67,2.2,0.5,13.1,0.1,0.1,3,0,,0.8,,,10.5,49.5,0.7,37.5,132,38,0,77,22
espagueti-cocido,Cereales S/G,Espagueti cocido,0.33,taza,46,46,57,2.5,2,12.3,0,0,0.1,0,0.4,2.1,,,2.3,6.9,0.5,20.3,1.4,25.1,0,44,20
espagueti-con-espinaca-cocido,Cereales S/G,Espagueti con espinaca cocido,0.33,taza,47,47,61,2.1,0.3,12.2,0,0,0.1,0,,0,7,,57,14,0.5,27,6.7,50.3,0,,
espagueti-crudo,Cereales S/G,Espagueti crudo,20,gramos,20,20,70,2.9,0.8,15,0,0,0.1,0,,0.1,,,11.4,8,0.7,43,1.6,,0,,
espagueti-integral-cocido,Cereales S/G,Espagueti integral cocido,0.33,taza,46,46,57,2.5,0.3,12.3,0,0,0.1,0,,2.1,,,2.3,6.9,0.5,20.5,1.3,41.3,0,,
espagueti-integral-crudo,Cereales S/G,Espagueti integral crudo,20,gramos,20,20,70,2.9,0.3,15,0,0,0.1,0,,0.1,NOD,,11.4,8,0.7,43,1.6,,0,,
espagueti-cocido-2,Cereales S/G,Espagueti cocido,0.33,taza,47,47,58,2.5,0.3,12.4,0,0,0.1,0,0.4,2.1,,,2.3,7,0.5,20.5,1.4,25.3,0,44,21
espagueti-con-espinaca-cocido-2,Cereales S/G,Espagueti con espinaca cocido,0.33,taza,47,47,61,2.1,0.3,12.2,0,0,0.1,0,,0,7,,5.7,14,0.5,27,6.7,50.3,0,,
espagueti-crudo-2,Cereales S/G,Espagueti crudo,20,gramos,20,20,70,2.9,0.3,15,0,0,0.1,0,,0.1,,,11.4,8,0.7,43,1.6,,0,,
espagueti-integral-cocido-2,Cereales S/G,Espagueti integral cocido,0.33,taza,47,47,58,2.5,0.3,12.4,0,0,0.1,0,0.4,2.1,,,2.3,7,0.5,20.5,1.4,25.3,0,,
fecula-de-maiz,Cereales S/G,Fécula de maíz,2,cda,16,16,60,0,0,14.4,0,0,0,0,,0,,,,,,,,,0,,
fecula-de-maiz-de-sabor,Cereales S/G,Fécula de maíz de sabor,2,cda,16,16,60,0,0,14.4,0,0,0,0,,0,,,,,,,,,0,,
fetuccini-crudo,Cereales S/G,Fetuccini crudo,20,gramos,20,20,70,2.7,0.5,14.1,0.1,0.1,0.3,0,0.6,0.6,,,3.9,4.3,0.6,38.2,3.2,31.4,0,,
fibra-uno,Cereales S/G,Fibra uno,0.5,taza,30,30,60,2,1,25,0.1,0.1,0.4,0,,14.2,49.1,6,,100,4.5,,105,,0,,
fideo-cocido,Cereales S/G,Fideo cocido,0.5,taza,20,20,74,2.5,0.2,15,0,0,0.1,0,,0.1,,,5,5.4,0.3,39.4,0.4,,0,,
fideo-con-tomate-deshidratado,Cereales S/G,Fideo con tomate deshidratado,2,cda,20,20,72,2.6,1,13.3,0,0,0,0,,0,,,,,0.3,,399.4,,0,,
fideo-crudo,Cereales S/G,Fideo crudo,20,gramos,20,20,72,2.7,0.5,14.5,0.1,0.1,0.3,0,0.7,0.7,,,4.2,4.2,0.6,37.5,1.1,32.3,0,,
fideo-seco-deshidratado,Cereales S/G,Fideo seco deshidratado,2,cda,20,20,72,2.6,1,13.3,0,0,0,0,,0,,,,,0.3,,399.4,,0,,
fideo-de-arroz,Cereales S/G,Fideo de arroz,0.5,taza,20,20,73,1.2,0.1,16,0,0.4,0,0,,0.3,,,,3.6,0.1,,36.4,,0,,
fruitcake,Cereales S/G,Fruitcake,0.5,reb,20,20,65,0.6,1.8,12.3,0.2,0.8,0.7,0.9,8.6,0.7,3.7,,0.5,6.5,0.4,30.7,54,10.2,0,,
fusili-cocido,Cereales S/G,Fusili cocido,0.33,taza,46,46,57,2.5,0.2,12.3,0,0,0.1,0,0.4,2.1,,,2.3,6.9,0.5,20.3,1.4,25.1,0,,
fusili-crudo,Cereales S/G,Fusili crudo,20,gramos,20,20,70,2.9,0.3,15,0,0,0.1,0,,0.1,,,11.4,8,0.7,43,1.6,,0,,
galleta-de-barras-de-higo,Cereales S/G,Galleta de barras de higo,1,pieza,16,16,56,0.6,1.2,11.3,0.2,0.6,0.2,0,,0.7,1,,2,10,0.5,33,56,10,0,,
galleta-de-animalito,Cereales S/G,Galleta de animalito,6,pieza,15,15,68,1.1,2.1,11.3,0.5,1.2,0.3,0,3.4,0.2,,,2.1,6.4,0.4,15,59.5,17.1,0,,
galleta-de-manzana,Cereales S/G,Galleta de manzana,1,pieza,15,15,50,0.5,0,12,0,0,0,0,7,0.5,,,,,,,30,,0,,
galleta-dulce,Cereales S/G,Galleta dulce,2,pieza,16,16,64,1.5,1.7,10.7,0,0,0,0,,0.7,,,1.1,3.5,0.3,15.2,48.5,,0,,NID
galleta-dulce-sin-relleno,Cereales S/G,Galleta dulce sin relleno,2,pieza,16,16,64,1.5,1.7,10.7,0,0,0,0,,0.7,,,1.1,3.5,0.3,15.2,48.5,,0,,
galleta-maria,Cereales S/G,Galleta María,5,pieza,19,19,69,1.3,1.3,13.8,0,0,0,0,11.3,0.1,31.3,,6.3,,5,,110.6,,0,,
galleta-para-sopa,Cereales S/G,Galleta para sopa,14,pieza,18,18,70,1.2,1.8,12.8,0,0.6,0,0,,0,,,,,,,68.3,,0,,NID
galleta-salada,Cereales S/G,Galleta salada,4,pieza,16,16,69,1.4,2.1,11.2,1.8,0.8,0.1,20.8,,0,,,1.1,7.8,0.3,19.2,176,,0,,NOD
galleta-salada-integral,Cereales S/G,Galleta salada integral,4,pieza,16,16,70,1.6,1.9,11.2,0.5,0,0,0,0.6,0.4,,1,,4.3,0.1,,108.8,,0,,
galleta-salada-molida,Cereales S/G,Galleta salada molida,2.5,cda,15,15,65,1.3,2,10.5,1.2,0.8,0.1,19.5,,0,,,1.1,7.4,0.2,18,165,,0,,NID
galleta-de-avena-pasas,Cereales S/G,Galleta de avena pasas,1.5,pieza,15,15,61,1,2,9.5,,NID,,NID,4.7,1.3,NOD,,,,,,57,,0,,NOD
galletas-de-maiz-horneadas-sin-grasa-salmas,Cereales S/G,Galletas de maíz horneadas sin grasa (Salmas),3,pieza,18,18,64,1.4,0.6,13,0.1,0.1,0.4,0,,1.4,,NOD,,,,,67.9,,0,,NID
galletas-marias,Cereales S/G,Galletas Marías,5,pieza,19,19,69,1.3,1.3,13.8,0,0,0,0,11.3,0.1,31.3,,6.3,,0.5,,110.6,,0,,
galletas-marias-azucaradas,Cereales S/G,Galletas Marías azucaradas,4,pieza,16,16,63,1,1.5,11.5,0,0,0,0,3.5,0.1,250,,32.8,NID,2.2,,98,,0,,
gluten-de-trigo,Cereales S/G,Gluten de trigo,3,cda,18,18,68,7.5,0.3,8.5,0,0,0,0,,0,,,,7.2,,10.8,0.4,252,0,,
granola-baja-en-grasa,Cereales S/G,Granola baja en grasa,3,cda,18,18,70,1.5,1.1,14.4,0.2,2,0.7,0,4.4,1.1,,0.7,36.7,7,0.7,44.8,44.1,36.7,0,,
