id,grupo,alimento,cantidad,unidad,peso_bruto_g,peso_neto_g,kcal,prot_g,lip_g,hc_g,agsat_g,agmono_g,agpoli_g,colest_mg,azucar_g,fibra_g,vita_ug,ac_ascorbico_mg,ac_folico_ug,calcio_mg,hierro_mg,potasio_mg,sodio_mg,fosforo_mg,etanol_g,ig,cg
manzana-verde,Frutas,Manzana verde,0.5,pieza,93,71,42,0.2,0.3,10.8,0.1,0,0.1,0,9.5,1.9,3.6,4.1,2.1,5.2,0.1,82.1,,5.2,0,,
manzana-washington,Frutas,Manzana Washington,0.5,pieza,93,71,42,0.2,0.3,10.8,0.1,0,0.1,0,9.5,1.9,3.6,4.1,2.1,5.2,0.1,82.1,,52,0,,
maracuya,Frutas,Maracuyá,3,pieza,150,53,51,1.2,0.4,12.3,0,0,0.3,0,5.9,5.5,37.9,14.6,8.8,5.8,0.8,183.8,14.6,35,0,,
maracuya-rebanado,Frutas,Maracuyá rebanado,0.5,taza,69,69,66,1.5,0.5,16,0,0,0.4,0,7.7,7.1,49.5,19,11.4,7.6,1.1,239.8,19,45.7,0,,
maranon-fresco,Frutas,Marañón fresco,190,gramos,190,171,62,1.5,0.5,14.4,0,0,0,0,,4.6,136.8,285.6,,22.2,4.1,,,,0,,
melon,Frutas,Melón,0.33,pieza,271,179,61,1.5,0.3,14.6,0,0,0,0,14.1,1.6,225.6,64.5,30.4,30.4,0.4,553.4,16.1,,0,65,9.5
melon-cantaloupe,Frutas,Melón Cantaloupe,0.33,pieza,271,179,61,1.5,0.3,14.6,0,0,0,0,14.1,1.6,225.6,64.5,30.4,30.4,0.4,553.4,16.1,,0,,
melon-chino,Frutas,Melón Chino,0.25,pieza,219,144,52,0.8,0.2,13.1,0,0,0,0,11.7,1.2,181.9,52,24.5,24.5,0.3,446.1,13,,0,,
melon-picado,Frutas,Melón picado,1,taza,160,160,54,1.3,0.3,13.1,0,0,0,0,12.6,1.4,201.6,57.6,27.2,27.2,0.3,494.4,14.4,,0,,
melon-valenciano,Frutas,Melón Valenciano,0.33,pieza,271,179,61,1.5,0.3,14.6,0,0,0,0,14.1,1.6,5.4,75.2,30.4,19.7,0.4,553.4,16.1,,0,,
melon-valenciano-picado,Frutas,Melón Valenciano picado,1,taza,160,160,54,1.3,0.3,13.1,0,0,0,0,12.6,1.4,4.8,67.2,27.2,17.6,0.3,494.4,14.4,,0,,
melon-verde-picado,Frutas,Melón verde picado,1,taza,160,160,58,0.9,0.2,14.5,0,0,0,0,13,1.3,515,68,27,18,0.3,494,14,27,0,,
membrillo,Frutas,Membrillo,1,pieza,163,98,56,0.4,0.1,15,0,0,0,0,,1.7,3.9,14.7,,10.8,0.7,192.7,3.9,,0,,
moras,Frutas,Moras,0.75,taza,108,108,67,2.2,0.6,14.9,0,0.1,0.2,0,7.6,8.2,42.1,22.7,27,34.6,0.7,175,,,0,,
nanche-agrio,Frutas,Nanche agrio,45,pieza,225,122,66,1.3,1.6,13.9,0,0,0,0,,2.4,4.9,86.3,,35.2,1.2,,,,0,,
naranja,Frutas,Naranja,2,pieza,152,152,70,1.4,0.2,18,0,0,0,0,14.3,3.7,18.3,80.8,45.7,61,0.2,2760,,,0,42,7.6
