food_id,medida_nombre,porcion_default,gramos_por_medida
harina-para-brownies,cucharada,1.5,8.67
harina-para-brownies-baja-en-grasas,cucharada,2,9.0
harina-para-hot-cakes,cucharada,2,9.0
harina-para-reposteria,cucharada,2,8.0
harina-para-tamales,cucharada,2,7.0
hilos-de-trigo-entrelazados-con-miel-maple-y-azucar,pieza,9,2.22
hojuelas-de-7-fibras,taza,0.33,60.61
hojuelas-de-arroz,taza,0.5,32.0
hojuelas-de-avena,taza,0.33,78.79
hojuelas-de-avena-con-maple,taza,0.33,78.79
hojuelas-de-avena-endulzadas-con-miel-y-almendras,taza,0.33,42.42
hojuelas-de-avena-instantaneas-con-pasas-datiles-y-nueces-preparado,taza,0.25,244.0
hojuelas-de-avena-instantaneas-con-pasas-y-especias-preparado,taza,0.25,248.0
hojuelas-de-avena-instantaneas-con-miel-maple-y-azucar-morena-preparado,taza,0.25,236.0
hojuelas-de-avena-fruta-seca-y-nueces,taza,0.25,84.0
hojuelas-de-cereales-con-fruta-seca,taza,0.33,54.55
hojuelas-de-cereales-con-frutas-secas,taza,0.33,54.55
hojuelas-de-maiz,taza,0.75,25.33
hojuelas-de-maiz-azucaradas,taza,0.33,39.39
hojuelas-de-maiz-y-trigo-con-fruta-y-nueces,taza,0.33,54.55
hojuelas-de-papa-para-pure,gramos,20,1.0
hojuelas-de-salvado,taza,0.33,63.64
hojuelas-de-salvado-con-pasas,taza,0.33,57.58
hojuelas-de-trigo,taza,0.5,36.0
hojuelas-de-trigo-con-miel,taza,0.5,36.0
hojuelas-de-trigo-integral,taza,0.5,32.0
hojuelas-de-trigo-integral-con-frutos-rojos,taza,0.5,32.0
hojuelas-de-trigo-integral-con-chispas-de-yoghurt,taza,0.5,38.0
hojuelas-de-trigo-integral-con-fibra-extra,taza,0.5,52.0
hojuelas-de-trigo-integral-con-frutas-y-yoghurt,taza,0.33,45.45
hojuelas-de-trigo-negro,taza,0.33,178.79
hojuelas-fortificadas-de-trigo-entero-almendras-nueces-y-miel,taza,0.25,60.0
hojuelas-de-avena-instantaneas-con-manzana-y-canela,taza,0.33,239.39
hot-cake,pieza,0.75,50.67
kamut-trigo-de-jorasan-cocido,taza,0.33,163.64
lasagna-cruda,gramos,20,1.0
lasana-cruda,gramos,20,1.0
linaza,cucharada,4,12.0
maca,cucharada,2,9.0
macarroon-cocido,taza,0.33,142.42
macarron-crudo,gramos,20,1.0
macarron-integral-cocido,taza,0.33,142.42
maicena,cucharada,2,8.0
maicena-de-sabor,cucharada,2,8.0
maiz,gramos,20,0.9
maiz-amarillo,gramos,20,0.9
maiz-amarillo-cocido,gramos,20,0.9
maiz-azul,gramos,20,0.9
maiz-blanco,gramos,20,0.9
maiz-blanco-cocido,gramos,25,0.76
maiz-cacahuacintle,gramos,20,0.9
maiz-cacahuacintle-2,gramos,20,0.9
maiz-palomero,gramos,20,1.0
maiz-pozolero,taza,0.33,163.64
maizena,cucharada,2,8.0
maizena-2,cucharada,2,8.0
malanga,gramos,70,0.86
marias,pieza,5,3.8
marias-cereale-fresa,pieza,1.5,10.0
marinela-sponch,pieza,1,20.0
masa-de-maiz,gramos,45,1.0
masa-de-maiz-amarillo,gramos,35,1.0
masa-de-maiz-blanco,gramos,45,1.0
masa-para-pizza,cucharada,3,9.0
masa-para-tortillas,gramos,45,1.0
masa-yucatan,gramos,40,1.0
media-noche,pieza,0.5,44.0
media-noche-con-ajonjoli,pieza,0.5,44.0
mijo-cocido,taza,0.33,172.73
mijo-crudo,gramos,15,1.0
mini-chapata,pieza,1,35.0
mueslix-con-manzana-y-almendra,taza,0.25,72.0
nixtamal,gramos,45,1.0
nutrigrain-de-fresa,pieza,0.5,38.0
nutrigain-sabor-fresa,pieza,0.5,38.0
nutritas-variedad-de-sabores,bolsa,0.5,34.0
name,gramos,100,0.86
oblea,pieza,4,4.0
obleas-con-pepita,pieza,3,7.0
palanqueta-de-amaranto,pieza,0.5,40.0
palanqueta-de-amaranto-con-pasas,pieza,0.33,39.39
palitos-de-pan,pieza,3,6.0
palomitas,taza,2.5,7.2
palomitas-acarameladas,taza,0.5,36.0
palomitas-acarameladas-sin-grasa,taza,0.75,25.33
palomitas-fat-free,taza,2.5,7.2
palomitas-naturales,taza,2.5,7.2
palomitas-sin-grasa,taza,2.5,7.2
pambazo,pieza,0.5,50.0
pan-5-granos,rebanada,1,25.0
pan-7-granos,rebanada,1,26.0
pan-acimo,pieza,0.33,60.61
pan-arabe,pieza,0.33,60.61
pan-arabe-integral,pieza,0.33,63.64
pan-bagel-dulce,pieza,0.33,69.7
pan-bagel-integral,pieza,0.33,69.7
pan-bagel-salado,pieza,0.33,69.7
pan-baguette,pieza,0.14,192.86
pan-birote,pieza,0.33,66.67
pan-blanco,rebanada,1,27.0
pan-cemita,pieza,0.33,69.7
pan-centeno,rebanada,0.75,32.0
pan-con-salvado,rebanada,0.75,36.0
pan-de-5-granos,rebanada,1,25.0
pan-de-7-granos,rebanada,1,26.0
pan-de-avena,rebanada,1,30.0
pan-de-caja,rebanada,1,27.0
pan-de-caja-integral,rebanada,1,25.0
pan-de-centeno-y-comino,rebanada,1,20.0
pan-de-centeno-y-trigo,rebanada,1,28.0
pan-de-girasol-integral,pieza,1,25.0
pan-de-hamburguesa-chico,pieza,0.5,52.0
pan-de-hot-dog,pieza,0.5,44.0
pan-de-hot-dog-con-ajonjoli,pieza,0.5,44.0
pan-de-jengibre,rebanada,1,25.0
pan-de-miel-y-avena,rebanada,1,28.0
pan-de-platano,rebanada,0.75,28.0
pan-de-trigo-con-arroz,rebanada,0.75,28.0
pan-integral,rebanada,1,25.0
pan-italiano,pieza,0.33,69.7
pan-matza,pieza,0.5,28.0
pan-melba,pieza,3,5.0
pan-molido,cucharadita,8,2.0
pan-negro,rebanada,1,26.0
pan-negro-con-trigo,rebanada,1,25.0
pan-panini,pieza,0.5,46.0
pan-para-hamburguesa-chico,pieza,0.5,52.0
pan-para-hamburguesa-grande,pieza,0.33,75.76
pan-para-pambazo,pieza,0.5,50.0
pan-pita,pieza,0.33,69.7
pan-thin,pieza,1.5,28.0
pan-tipo-english-muffin,pieza,0.5,58.0
pan-tipo-media-noche,pieza,0.5,44.0
pan-tostado,rebanada,1,15.0
panque-fat-free,rebanada,0.5,50.0
papa-al-horno-con-cascara,pieza,0.5,156.0
papa-al-horno-sin-cascara,pieza,0.5,156.0
papa-cocida,pieza,0.5,136.0
papa-cocida-sin-cascara,pieza,0.5,136.0
papa-de-agua,pieza,1,78.0
papa-de-cambray,pieza,5,18.8
papa-hervida-con-piel,pieza,0.5,136.0
papa-hervida-pelada,pieza,0.5,136.0
papa-picada,taza,0.75,140.0
papa-roja-cruda,pieza,0.5,170.0
papa-hojuelas-para-pure,gramos,20,1.0
pan-de-arroz,pieza,5,4.0
papilla-de-arroz,taza,0.5,34.0
papilla-de-arroz-deshidratada,gramos,15,1.0
papilla-de-avena-deshidratada,gramos,15,1.0
papilla-de-maiz-deshidratada,sobre,0.75,28.0
pasta-cocida,taza,0.5,120.0
pasta-con-huevo,taza,0.33,45.45
pasta-cruda-para-sopa,gramos,20,1.0
pasta-de-codito,taza,0.5,40.0
pasta-de-estrellitas,taza,0.25,76.0
pasta-de-lagrimitas,taza,0.25,76.0
pasta-de-letras,taza,0.25,76.0
pasta-de-mono,taza,0.5,40.0
pasta-de-municiones,taza,0.25,76.0
pasta-de-trigo-cocida,taza,0.5,120.0
pasta-de-trigo-fresca,gramos,25,1.0
pasta-fresca,gramos,25,1.0
pasta-integral-codida,taza,0.33,139.39
pasta-para-sopa-cruda,gramos,20,1.0
pasta-tornillo-cocida,taza,0.33,45.45
pastel-angel,rebanada,1,28.0
peneques,pieza,2,13.0
pinole,gramos,15,1.0
populares,pieza,2,8.5
pretzels,pieza,6,3.0
pure-de-camote,taza,0.25,240.0
pure-de-camote-con-naranja,taza,0.25,200.0
pure-de-papa-hojuelas,taza,0.33,60.61
quaker-instant-0-azucar,sobre,0.5,16.0
quinoa-cruda,gramos,20,1.0
quinoa-inflada,taza,0.5,34.0
raiz-de-chayote,gramos,100,0.8
sagu,gramos,55,0.8
saladitas,pieza,5,3.2
saladitas-integrales,pieza,9,2.0
salvado-de-avena,cucharada,3,9.0
salvado-de-maiz,cucharada,6,4.83
salvado-de-trigo,cucharada,8,3.88
semola-de-maiz-preparada,taza,0.5,242.0
semolina,gramos,20,1.0
sopa-instantanea-ramen-sin-preparar,gramos,50,1.0
sorgo,cucharada,1.5,12.0
tallarin-cocido,taza,0.33,48.48
tallarin-crudo,gramos,20,1.0
tallarines-estilo-japones,taza,0.5,40.0
tapioca,cucharada,2,9.5
telera,pieza,0.33,69.7
tortilla,pieza,1,30.0
tortilla-burrera,pieza,1,30.0
tortilla-de-maiz,pieza,1,30.0
tortilla-de-maiz-amarillo,pieza,1,32.0
tortilla-de-maiz-azul-o-negro,pieza,1,32.0
tortilla-de-maiz-blanco,pieza,1,30.0
tortilla-de-maiz-y-soya,pieza,1,33.0
tortilla-de-maiz-y-trigo,pieza,1,32.0
tortilla-de-nopal,pieza,3,23.0
tostada-de-maiz-horneada,pieza,2,10.0
tostada-de-nopal-horneada,pieza,2,10.0
trigo,cucharada,1.5,14.0
trigo-cocido,cucharada,1.5,14.0
trigo-entero,cucharada,2,9.5
trigo-negro,gramos,20,1.0
trigo-triturado,cucharada,1.5,13.33
uchepos,pieza,0.25,176.0
wonton,gramos,26,1.0
yuca,pieza,0.25,240.0
yuquilla,gramos,150,0.86
amaranto-acaramelado,taza,0.5,64.0
aros-de-cebolla,pieza,2.5,15.2
banderillas,pieza,0.5,76.0
barcel-churritos-chile-y-limon,bolsa,0.33,51.52
barra-all-bran,pieza,0.75,40.0
barra-de-amaranto-sabor-chocolate,pieza,2,14.0
barra-de-chocolate-amaranto,pieza,2,14.0
barra-de-fruta-con-avena-fresa,gramos,30,1.0
barra-de-fruta-quaker-sabor-fresa,pieza,0.75,30.67
barra-de-granola,pieza,0.75,28.0
barra-kelloggs-special-k-nut-bar-arandanos,barra,1,33.0
barra-kelloggs-special-k-nut-bar-caramelo-canela,barra,1,30.0
barra-kelloggs-special-k-nut-bar-sabor-a-chocolate-oscuro,barra,1,33.0
barra-kelloggs-special-k-proteina,barra,1,40.0
barra-multigrano-linaza,gramos,20,1.0
barras-chewy-para-ninos-varios-sabores,paquete,1,23.0
barra-de-granola-con-cacahuate,pieza,0.33,57.58
barrita-de-granola-con-choco-chip,pieza,1,28.0
barrita-de-granola-con-pasitas-y-nuez,pieza,0.75,28.0
barrita-de-granola-cubierta-con-chocolate,pieza,0.75,28.0
barrita-de-fresa,pieza,0.33,63.64
barritas-marinela,gramos,20,1.0
barritas-marinela-fresa,pieza,0.75,33.33
barritas-marinela-pina,pieza,0.75,33.33
base-para-pay,gramos,20,1.0
bigote-relleno-de-chocolate,pieza,0.33,63.64
bigotes-de-cajeta,pieza,0.33,66.67
bigotes-de-chocolate,pieza,0.33,66.67
bigotes-miniatura-de-cajeta,pieza,2,13.0
bimbo-bran-fut-fresa,pieza,0.75,40.0
bimbo-bran-frut-pina,pieza,0.75,40.0
bimbo-donas-azucaradas,pieza,1,26.0
bimbo-doraditaz,pieza,0.5,36.0
bimbo-mantecadas,pieza,0.75,30.67
bimbo-multigrano-chia,pieza,0.75,32.0
bimbo-multigrano-linaza,pieza,0.75,32.0
bimbo-multigrano-nuez,pieza,0.5,34.0
bimbo-nito,pieza,0.5,62.0
bimbo-panquecito-gotas-de-chocolate,pieza,0.33,69.7
bimbo-rol-de-canela-glaseado,pieza,0.5,60.0
bimbo-tartinas-fresa,pieza,1.5,16.67
bimbo-tartinas-pina,pieza,1.5,16.67
bimbo-tartinas-zarzamora,pieza,1.5,16.67
bimbunuelos,pieza,2,15.0
bisquet,pieza,0.5,66.0
bocadin,pieza,2,10.5
botana-con-proteina-de-amaranto,bolsa,0.5,40.0
brownie-casero,pieza,1,24.0
brownie-comercial,pieza,0.5,56.0
bunuelos,pieza,1.5,16.67
campechanas,pieza,1.5,15.33
cazares,bolsa,1,26.0
centro-de-dona,pieza,2,15.0
chalupa,pieza,1.5,47.33
charritos-de-amaranto,bolsa,0.5,40.0
cheescake,rebanada,1,30.0
cheetos,gramos,20,1.0
cheetos-poffs,gramos,20,1.0
cheetos-poffs-2,bolsa,0.66,30.3
cheetos-torciditos,gramos,20,1.1
cheetos-torciditos-2,bolsa,0.5,44.0
chicharron-de-harina-enchilado,bolsa,0.5,46.0
chips-ahoy,pieza,2,9.5
chips-de-platano,bolsa,0.75,28.0
choco-chispas,pieza,4,4.5
chocorroles,pieza,1,34.0
chocotorro,pieza,0.5,50.0
chokis,pieza,2.5,10.0
chokis-sin-azucar,pieza,2.5,10.4
churrito-con-chile,bolsa,0.25,92.0
churritos-barcel,paquete,0.25,60.0
churritos-de-nopal,bolsa,0.33,60.61
churros,pieza,0.5,50.0
cocoles,pieza,0.33,69.7
concha-de-chocolate,pieza,0.33,63.64
concha-de-vainilla,pieza,0.33,63.64
concha-pan-dulce,pieza,0.33,63.64
costra-para-pay-casera,gramos,90,1.0
costra-para-pay-congelada,gramos,125,1.0
cremax-sin-azucar,pieza,2,11.5
croissant,pieza,0.5,58.0
croissant-de-manzana,pieza,0.75,57.33
croissant-de-queso,pieza,0.5,58.0
croutones-sazonados,taza,0.75,30.67
crujitos,bolsa,0.5,40.0
cuernito,pieza,0.5,58.0
cuernito-de-manzana,pieza,0.75,57.33
cuernito-de-queso,pieza,0.5,58.0
cuerno,pieza,0.5,58.0
cupcake-de-chocolate,pieza,0.5,60.0
dalmata,pieza,0.33,57.58
dona,pieza,0.33,63.64
dona-azucarada,pieza,0.33,63.64
dona-con-coco,pieza,0.5,50.0
dona-glaseada-de-chocolate,pieza,0.33,63.64
dona-glaseada-sabor-chocolate,pieza,0.33,63.64
dona-glaseada,pieza,0.33,63.64
dona-rellena-de-crema,pieza,0.33,78.79
dona-rellena-de-mermelada,pieza,0.33,78.79
donas-con-azucar,pieza,0.33,63.64
donas-con-chocolate,pieza,0.33,75.76
doraditas,pieza,0.5,36.0
doritos-diablo,bolsa,0.33,60.61
doritos-incognita,paquete,0.33,57.58
doritos-nacho,bolsa,0.33,60.61
doritos-nachos,gramos,20,1.0
doritos-nachos-2,bolsa,0.33,60.61
doritos-pizzerolas,bolsa,0.33,60.61
doritos-pizzerolas-2,paquete,0.33,57.58
eclair-de-chocolate,pieza,0.5,58.0
emperador-chocolate,pieza,2.5,10.0
emperador-sin-azucar,pieza,2.33,10.3
fiber-one-sabor,pieza,1.25,24.8
fiber-one-sabor-canela,pieza,1.25,24.8
fritos,gramos,20,1.0
fritos-chile-y-limon,bolsa,0.5,40.0
fritos-chorizo-y-chipotle,bolsa,0.5,40.0
fritos-sal-y-limon,bolsa,0.5,40.0
friuturas-de-maiz-con-chile-y-limon,bolsa,0.33,57.58
frituras-de-maiz-con-limon-y-sal,bolsa,0.33,57.58
fruitcake-2,rebanada,0.75,42.67
galleta-con-chispas-de-chocolate,pieza,3,7.0
galleta-cubierta-de-chocolate,pieza,1.5,14.0
galleta-de-avena,pieza,1,18.0
galleta-de-avena-quaker-con-pasas,pieza,2.5,10.0
galleta-de-avena-con-pasas,pieza,2,12.5
galleta-de-avena-quaker-sin-azucar-con-almendras,pieza,3,10.0
galleta-de-avena-y-manzana,pieza,1,24.0
galleta-de-chocolate-con-relleno-cremoso,pieza,2.5,9.2
galleta-de-chocolate-con-relleno-cremoso-baja-en-grasa,pieza,3,9.0
galleta-de-crema-de-cacahuate,pieza,1.5,15.33
galleta-de-malvavisco-con-chocolate,pieza,2,13.0
galleta-de-nuez,pieza,1.5,15.33
galleta-de-salvado,pieza,0.75,40.0
galleta-integral,pieza,4,5.0
galleta-integral-con-miel,pieza,4,6.0
galleta-integral-con-miel-2,pieza,4,6.0
galleta-integral-de-trigo,pieza,4,7.0
galleta-integral-molida,cucharada,4,6.0
galleta-de-oreo,pieza,2,9.0
galleta-salada-cremosa,pieza,7,3.14
galleta-sandwich,pieza,2,10.5
galleta-sandwich-de-chocolate,pieza,2,10.5
galleta-sandwich-de-vainilla,pieza,2,10.5
galleta-wafers,pieza,6,3.5
galleta-canelitas,pieza,1.5,15.33
galletas-con-almendras,pieza,1.5,14.0
galletas-con-chispas-de-chocolate,pieza,0.5,32.0
galletas-con-chispas-de-chocolate-baja-en-grasa,pieza,2,10.0
galleta-con-chispas-de-chocolate-con-mantequilla-caseras,pieza,1.5,16.0
galletas-con-mermelada,pieza,1.5,16.67
galletas-de-canela,pieza,1.5,15.33
galletas-de-manzana-con-pasas,pieza,1,26.0
galletas-de-nuez-con-azucar-glass,pieza,0.75,26.67
galletas-globitos,pieza,28,0.79
galletas-marias-doradas,pieza,2.5,10.0
gansito,gramos,25,1.0
germen-de-trigo,cucharada,1,30.0
gordita-de-maiz,pieza,0.75,46.67
granola-con-almendras,cucharada,3,7.0
granola-con-avena-y-miel,cucharada,3,7.0
granola-con-pasitas-y-datiles,cucharada,3,7.0
granola-estandar,cucharada,3,7.0
granola-thins-nature-valley,pieza,1,17.0
habaneras-bran-arandanos-ciruela,gramos,35,1.0
harina-de-algodon-baja-en-grasa,cucharada,4,8.0
harina-de-cacahuate,cucharada,4,8.0
harina-de-girasol-parcialmente-desgrasada,cucharada,4,8.0
harina-de-sesamo-baja-en-grasa,cucharada,4,8.0
harina-de-soya-baja-en-grasa,cucharada,4,8.0
harina-de-soya-desgrasada,cucharada,4,8.0
harina-de-soya-full-fat,cucharada,3,8.0
harina-para-churros,cucharada,3,8.0
hojaldra,pieza,0.33,84.85
hot-cake-con-mantequilla-congelado,pieza,1,38.0
hot-cake-congelado,pieza,1,38.0
kelloggs-nutri-grain-manzana,pieza,0.75,37.33
kelloggs-nutri-grain-mora-azul,pieza,0.75,37.33
kelloggs-s-nutri-grain-pina,pieza,0.75,37.33
kinder-delice,paquete,0.5,42.0
macarron-con-queso,taza,0.25,200.0
macarron-de-coco,pieza,2,12.0
madalena,pieza,0.75,26.67
maiz-palomero-con-mantequilla-horno-de-microondas,taza,2.5,15.2
mamut,pieza,0.5,44.0
mantecada,pieza,0.75,30.67
marias-gamesa-cereale-chocoplatano,gramos,20,1.0
marias-gamesa-cereale-fresa,gramos,30,0.67
marinela-barritas-de-fresa,pieza,0.75,33.33
marinela-barritas-de-pina,pieza,0.75,33.33
marinela-canelitas,pieza,1.5,15.33
marinela-chocorroles,pieza,1,33.0
marinela-dalmata,pieza,0.5,46.0
marinela-gansito,pieza,0.5,46.0
marinela-polvorones,pieza,1,18.0
marinela-principe-blancas,pieza,2,10.0
marinela-principe-chocolate,pieza,2,10.0
marinela-principe-mousse-de-limon,pieza,2,10.0
marinela-triki-trakes,pieza,2,9.0
muffin-con-mantequillla,pieza,0.33,112.12
muffin-de-blueberry,pieza,0.25,112.0
mufin-de-maiz,pieza,0.33,112.12
mufin-de-manzana,pieza,0.25,124.0
mufin-de-platano,pieza,0.25,124.0
muffin-integral,pieza,0.33,112.12
muffin-integral-con-pasas,pieza,0.33,112.12
nachos,pieza,3,7.0
nature-valley,pieza,0.5,36.0
nature-valley-barra-granola-con-manzana,pieza,1,21.0
nature-valley-con-cacahuate,pieza,0.6,33.33
nature-valley-con-chocolate-oscuro-cacahuate-y-almendra,pieza,0.5,36.0
nature-valley-con-frutas-y-almendras,pieza,0.5,36.0
oreja,pieza,0.33,51.52
orejas-de-pan-de-dulce,pieza,0.33,51.52
palomitas-con-queso,taza,0.75,28.0
palomitas-de-chocolate,taza,3,8.0
palomitas-de-mantequilla,taza,3,6.0
palomitas-garapinadas,taza,0.75,28.0
palomitas-microondas-poffets-natural,taza,3.5,7.14
pan-de-ajo,pieza,1,28.0
pan-de-ajo-con-queso,pieza,1,28.0
pan-de-dulce-miniatura,pieza,0.75,33.33
pan-de-dulce-orejas,pieza,0.33,51.52
pan-de-jenjibre,rebanada,1,28.0
pan-de-muesli,rebanada,1,28.0
pan-dulce-integral,pieza,0.33,66.67
pan-focaccia,gramos,42,1.0
pan-tipo-muffin-con-mantequilla,pieza,0.33,112.12
pan-tipo-muffin-de-fruta,pieza,0.25,112.0
pan-tipo-muffin-de-maiz,pieza,0.33,112.12
pan-tipo-muffin-integral,pieza,0.33,112.12
panque,rebanada,0.5,40.0
panque-con-mantequilla,rebanada,0.5,40.0
panque-de-limon,rebanada,1,28.0
panque-de-nata,rebanada,0.5,46.0
panque-de-salvado,rebanada,1,40.0
panque-marmoleado,rebanada,1,28.0
panquecito-cubierto-de-chocolate,pieza,0.5,48.0
panquecito-cubierto-de-vainilla,pieza,..5,
panquecito-de-vainilla,pieza,0.5,66.0
papa-congelada-para-freir,gramos,50,1.0
papa-hash-brown,taza,0.25,156.0
papa-sal,gramos,20,1.0
papas-curly,pieza,0.75,62.67
papas-deshidratadas,paquete,0.25,92.0
papas-fritas,pieza,6,3.0
papas-fritas-a-la-francesa,pieza,4,5.0
papas-fritas-bajas-en-grasa,pieza,7,3.0
papas-fritas-con-crema-acida-y-cebolla,pieza,6,3.0
papas-fritas-con-queso,pieza,6,3.0
papas-fritas-en-juliana,pieza,6,5.0
papas-fritas-light,pieza,10,3.0
papas-fritas-reducidas-en-grasa,bolsa,0.75,25.33
papas-sabritas,gramos,20,1.0
papilla-de-macarrones-con-pollo,frasco,1.5,130.0
pasta-de-hojaldre,gramos,20,1.0
pasta-hojaldrada,gramos,20,1.0
pasta-quebrada,gramos,20,1.0
pastel-de-chocolate,rebanada,1,28.0
pastel-de-frutas,rebanada,1,28.0
pastel-de-pina,rebanada,1,28.0
pastel-de-zanahoria-con-cubierta-de-queso-crema,rebanada,0.5,56.0
pastelito-con-relleno-cremoso-y-mermelada,pieza,0.5,50.0
pastelito-de-chocolate-con-relleno-cremoso,pieza,1,30.0
pastisetas,pieza,2.5,7.6
pastitas-de-mantequilla,pieza,2,7.5
pay-de-calabaza,rebanada,1,45.0
pay-de-chocolate,rebanada,1,30.0
pay-de-limon-con-merengue,rebanada,1,35.0
pay-de-manzana,rebanada,1,40.0
pay-de-nuez,pieza,0.33,69.7
pay-de-pina,pieza,0.33,84.85
pay-de-queso,rebanada,1,35.0
pay-helado-de-limon,rebanada,1,40.0
pinguinos-marinela,pieza,0.44,56.82
polvoron,pieza,1,18.0
polvorones-marinela,pieza,1,18.0
pop-tarts,pieza,0.33,54.55
prispas,paquete,0.75,25.33
pure-de-papa,taza,0.5,210.0
quaker-sdw-sabor-yogurt-de-fresa,pieza,2.5,9.6
rice-krispies-treats,barra,1,22.0
roles-de-canela,pieza,0.5,60.0
rollo-de-fresa,pieza,1,30.0
ruffles-queso,bolsa,0.5,50.0
ruffles-sal,bolsa,0.33,54.55
runner-sabor-hot-sauce,bolsa,0.33,60.61
sabritas-ligeras,gramos,20,1.0
sabritas-ligeras-citricas,gramos,20,1.0
sabritas-ligeras-citricos-con-chile,bolsa,0.25,100.0
sabritas-ligeras-sal,bolsa,0.25,100.0
sabritras-sal,bolsa,0.5,46.0
salsa-gravie-de-champinones,taza,1,230.0
salsa-gravie-de-res,taza,1,226.0
sandwich-quaker-chocolate,gramos,30,1.0
snack-mix-nabisco-100-kcal,paquete,1,22.0
sope-de-maiz,pieza,1,35.0
strudel-de-manzana,rebanada,1,40.0
suavicrema-de-chocolate,pieza,1.5,12.0
suavicrema-sabor-fresa,pieza,1.5,12.0
suavicremas-sabor-vainilla,pieza,1.5,12.0
submarino-de-fresa,pieza,0.75,34.67
submarino-de-chocolate,pieza,0.75,34.67
submarino-de-vainilla,pieza,0.75,34.67
tamal-de-carne,pieza,0.2,200.0
tamal-de-elote,pieza,0.2,200.0
tamal-de-frijol,pieza,0.2,200.0
tamal-de-queso-con-rajas,pieza,0.2,200.0
tamal-rojo,pieza,0.16,212.5
tamal-verde,pieza,16,2.12
tlacoyo,pieza,1,35.0
tortilla-de-harina,pieza,1,28.0
tortilla-de-harina-integral,pieza,1,28.0
tostada,pieza,1.5,12.0
tostada-rayada,pieza,1.5,12.0
tostada-tipo-jalisco,pieza,1.5,12.0
tostitos-sal,porción,1,25.0
totopos-de-maiz,gramos,25,1.0
trenza-glaseada,pieza,0.5,42.0
wafle,pieza,1,35.0
wafle-con-mantequilla,pieza,1,35.0
wafle-estilo-casero,pieza,1,31.0
wafle-integral,pieza,1,35.0
wafle-miniatura,pieza,2,20.0
wrap,pieza,0.5,58.0
alubia-cocida-chica-o-grande,taza,0.5,180.0
alubia-cruda-chica-o-grande,gramos,35,1.0
alubia-enlatada-guisada,taza,0.33,260.61
alubia-germinada,taza,1,190.0
alverjon-o-chicharo-seco-crudo,gramos,35,1.0
alverjon-o-chicharo-seco-cocido,taza,0.5,196.0
bebida-vegetal-silk-soya-sin-azucar-sin-endulzar,taza,1,240.0
chicharo-germinado-cocido,taza,0.5,206.0
frijol-germinado-cocido,taza,1,124.0
frijol-germinado-crudo,taza,1.5,104.0
frijol-molido,taza,0.33,221.21
frijol-promedio-cocido,taza,0.5,172.0
frijol-promedio-crudo,gramos,35,1.0
frijoles-enteros-enlatados,taza,0.5,256.0
frijoles-refritos-caseros-o-enlatados,taza,0.33,227.27
gandul,gramos,40,0.85
garbanzo-cocido,taza,0.5,164.0
garbanzo-crudo,gramos,35,1.0
garbanzo-enlatado,taza,0.5,240.0
haba-seca-cocida,taza,0.5,170.0
haba-seca-cruda,taza,0.25,152.0
harina-de-frijol,cucharada,3,11.0
harina-de-garbanzo,cucharada,3,11.0
harina-de-haba,cucharada,3,11.0
harina-de-lenteja,cucharada,3,11.0
harina-de-soya,cucharada,4,6.25
harina-de-soya-baja-en-grasa-2,cucharada,4,6.25
harina-de-soya-sin-grasa,cucharada,4,5.5
hummus,cucharada,5,15.0
ibes-o-haba-de-lima-cocido,taza,0.5,170.0
ibes-o-haba-de-lima-crudo,gramos,90,1.0
lenteja-cocida,taza,0.5,198.0
lenteja-cruda,gramos,35,1.0
miso-soybean-paste,gramos,60,1.0
soya-cocida,taza,0.33,172.73
soya-texturizada,gramos,30,1.0
abulon-fresco,gramos,40,1.0
acociles,gramos,50,0.7
aguayon,gramos,30,1.0
aguayon-de-res,gramos,30,1.0
ahuahutle-seco,gramos,10,1.0
alce-crudo,gramos,35,1.0
almeja-chirla,gramos,50,1.0
almeja-cocida,pieza,2,12.5
almeja-cruda-mediana-sin-concha,pieza,4,14.5
almeja-fresca-sin-concha,pieza,4,14.5
alon-de-pollo-sin-piel,pieza,1,29.0
anchoa-fresca,gramos,30,1.0
anillos-de-calamar,taza,0.25,152.0
armadillo,gramos,30,0.7
arrachera-de-avestruz,gramos,40,1.0
atun-blanco-en-agua-drenado,lata,0.33,100.0
atun-en-agua-drenado,lata,0.33,100.0
atun-fresco,gramos,30,1.0
atun-drenado,gramos,20,1.0
atun-light-drenado,lata,0.33,100.0
bacalao-enlatado,gramos,35,1.0
bacalao-fresco,gramos,45,1.0
bacalao-noruego,gramos,15,1.0
bacalao-seco,gramos,15,1.0
bagre,gramos,80,0.5
bagre-fileteado,gramos,40,1.0
bistec,gramos,30,1.0
bistec-de-res,gramos,30,1.0
bola-de-ternera,gramos,35,1.0
boqueron-crudo,gramos,45,0.8
boquilla-crudo,gramos,75,0.51
cabeza-de-pescado,gramos,400,0.1
cabrilla,gramos,75,0.51
cabrito,gramos,25,1.0
calamar-americano,gramos,45,1.0
calamar-cocido,gramos,20,1.0
calamar-crudo,gramos,45,1.0
calamar-fresco-entero,gramos,45,1.0
calamar-fresco-limpio,gramos,45,1.0
camaron-16-20,pieza,2,20.0
camaron-cocido,pieza,5,6.8
camaron-crudo-mediano,pieza,6,6.0
camaron-de-surimi,gramos,40,1.0
camaron-enlatado,taza,0.25,128.0
camaron-gigante,pieza,2,20.0
camaron-pacotilla,pieza,6,6.0
camaron-seco,gramos,10,0.9
